3220,2402,4378
3105,1795,5100
3599,1617,4784
3886,1428,4686
4110,1355,4535
3936,1145,4919
5032,1890,3078
1915,2852,5233
1857,2802,5341
2774,685,6541
6758,398,2844
4458,252,5290
5418,1284,3298
3411,2084,4505
704,2383,6913
231,4072,5697
669,6440,2891
234,5884,3882
644,4915,4441
406,3485,6109
94,826,9080
465,689,8846
989,3567,5444
1664,3032,5304
805,3467,5728
622,1002,8376
223,5538,4239
59,921,9020
122,2518,7360
228,2649,7123
6140,441,3419
3766,3338,2896
5289,4104,607
102,1575,8323
132,2194,7674
1069,3304,5627
889,6085,3026
434,3023,6543
785,2499,6716
950,2492,6558
