Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity
3,Encourage social learning,1.0,1.64579822,1.34656218
0,Do nothing,1.0,1.64579822,1.34656218
3,Encourage social learning,1.0,1.8103780420000002,1.2119059620000001
3,Encourage social learning,1.0,1.9914158462000005,1.0907153658000002
1,Decrease Threshold for Replacement,0.95,1.9914158462000005,1.0907153658000002
3,Encourage social learning,0.95,2.1905574308200007,0.9816438292200002
3,Encourage social learning,0.95,2.409613173902001,0.8834794462980001
3,Encourage social learning,0.95,2.41,0.88
3,Encourage social learning,0.95,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
2,Increase Threshold for Replacement,1.0,2.41,0.88
1,Decrease Threshold for Replacement,0.95,2.41,0.88
1,Decrease Threshold for Replacement,0.9025,2.41,0.88
1,Decrease Threshold for Replacement,0.8573749999999999,2.41,0.88
