Episode,Average Fitness
0,447.5153902574378
1,409.61441381428114
2,405.86302621386676
3,405.22395741657505
4,405.0096573929571
5,404.8781714598574
6,404.7509165911827
7,404.7149293542702
8,404.6708100500201
9,404.6467375112336
10,404.61335645883685
11,404.5972276658271
12,404.5899497940231
13,404.5545735517003
14,404.5493419680101
15,404.5446674479714
16,404.54455494758
17,404.5416295650866
18,404.54161064605495
19,404.54160720905065
