Step,C2,Loss,Reward
1,0.9902473552461276,0.0,17.252792
2,0.9805907853202301,0.0,54.700882
3,0.9710293437741592,0.0,2.2298894
4,0.9615620934833748,21.033234,40.236004
5,0.9521881065550976,22.006422,25.272299
6,0.9429064642373647,19.112906,28.543543
7,0.9337162568289827,22.351364,38.688065
8,0.9246165835903667,24.363405,59.175964
9,0.9156065526552583,22.626963,63.107613
10,0.906685280943313,27.53078,39.362617
11,0.8978518940735489,21.343952,33.5075
12,0.8891055262786478,21.00272,49.054787
13,0.8804453203201007,20.27296,37.38221
14,0.871870427404189,16.890293,40.32221
15,0.8633800070987937,19.122692,52.34022
16,0.8549732272510244,22.633705,-21.88681
17,0.8466492639056583,20.06541,-27.823511
18,0.8384073012243849,25.315056,-31.255995
19,0.8302465314058439,26.183064,-9.029833
20,0.8221661546064527,22.337366,-21.412193
21,0.814165378862013,21.40007,-31.54286
22,0.8062434200100893,24.99015,-30.894894
23,0.7983995016131531,24.38712,-21.094587
24,0.7906328548824832,14.958295,-15.604061
25,0.7829427186028165,21.532183,-32.20769
26,0.77532833905774,18.432568,-16.283813
27,0.7677889699558195,18.745304,-23.510738
28,0.7603238723574538,15.857144,-14.512327
29,0.7529323146024516,20.166422,-11.993309
30,0.7456135722383205,16.292301,-18.711544
31,0.7383669279492624,16.408476,-11.682113
32,0.7311916714858699,15.415301,-11.974913
33,0.7240870995955133,14.456482,-1.2776095
34,0.7170525159534141,15.035044,-11.206931
35,0.7100872310943986,14.359566,-11.319301
36,0.703190562345322,16.263988,-17.820414
37,0.6963618337581594,16.54669,-23.062449
38,0.6896003760437556,10.863785,-23.86303
39,0.6829055265062274,13.8893175,-18.82156
40,0.6762766289780126,16.20229,-36.66814
41,0.6697130337555578,15.087628,-21.953405
42,0.6632140975356413,19.828606,-35.93038
43,0.6567791833523215,13.375404,-15.09709
44,0.6504076605145085,14.364406,-15.007702
45,0.6440989045441483,14.363935,-35.555687
