31,49,33,41,40,40,39,38,37,42,51,35,187,37,48,43,38,39,50,50,32
34,130,31,78,28,31,23,75,23,16,77,25,124,22,20,55,21,40,43,59,45
75,17,68,40,201,18,23,24,11,14,20,11,16,16,22,14,113,12,73,39,173
21,16,44,115,101,60,142,22,105,9,11,6,44,9,115,9,43,8,6,78,36
19,3,36,19,68,3,247,194,20,3,31,3,15,6,109,7,43,45,33,46,50
96,118,67,13,92,16,30,96,49,7,69,6,39,8,81,19,19,6,10,125,34
23,73,4,112,80,38,67,87,59,15,44,4,2,22,103,84,60,4,3,82,34
12,36,43,101,118,10,56,124,72,1,38,1,1,14,74,81,102,4,0,55,57
10,11,12,144,99,49,107,28,1,18,53,34,31,38,63,43,64,0,6,68,121
157,20,39,10,54,26,94,48,26,6,43,54,30,53,48,82,5,3,9,21,172
165,65,13,35,41,20,44,45,40,5,34,32,32,83,57,97,39,25,3,36,89
93,69,36,50,45,78,46,41,12,9,63,25,25,52,105,35,73,30,11,6,96
69,54,39,32,23,62,70,47,9,8,67,32,19,25,89,70,104,28,37,7,109
91,21,62,27,11,48,25,35,24,31,120,32,117,4,24,17,22,37,23,145,84
2,59,20,6,84,14,56,44,10,34,209,31,157,6,74,0,31,2,50,74,37
4,85,42,34,127,29,35,41,72,25,119,10,70,25,55,13,35,6,35,48,90
109,149,42,18,114,28,18,10,110,2,141,30,36,10,33,48,18,8,16,4,56
12,23,2,20,41,16,3,1,2,0,30,53,12,4,20,499,16,1,0,36,209
0,2,2,0,0,2,0,1,2,1,1,2,1,0,0,67,45,0,0,0,874
2,1,0,0,1,4,1,0,0,0,347,0,0,1,1,2,57,1,0,0,582
1,0,0,1,1,32,0,0,1,0,911,0,1,1,0,1,3,0,0,1,46
1,0,2,0,0,35,1,2,1,0,760,1,195,0,0,0,1,0,0,0,1
4,1,0,270,1,21,1,1,1,1,142,1,480,13,9,0,0,1,51,1,1
13,2,1,263,26,1,1,0,103,12,69,146,28,0,38,0,177,1,118,0,1
63,3,0,85,11,1,29,1,13,1,148,40,119,0,116,208,102,0,28,1,31
153,1,0,11,6,0,118,0,0,4,161,19,216,2,94,130,29,1,6,2,47
141,2,10,46,49,46,10,0,51,9,110,154,34,8,130,107,17,4,0,53,19
66,5,29,27,101,140,2,35,0,57,106,22,54,0,172,70,56,0,25,15,18
39,39,60,104,101,88,1,25,1,115,61,1,31,27,131,36,36,3,95,3,3
97,41,28,53,10,22,8,127,157,13,61,28,5,24,74,21,2,22,199,3,5
284,26,19,5,6,87,28,45,61,1,5,164,30,64,15,25,56,1,34,26,18
32,66,76,36,8,58,14,72,87,11,27,31,50,56,60,41,88,1,47,87,52
48,53,272,28,31,6,3,50,113,3,40,26,105,12,85,44,5,32,15,2,27
40,2,119,143,12,6,1,121,31,2,1,2,26,20,44,235,29,63,27,24,52
8,48,266,90,7,29,25,18,112,7,1,4,27,0,6,274,22,3,0,13,40
26,76,69,22,11,12,84,27,168,26,2,1,48,55,33,32,153,5,16,37,97
46,55,94,7,3,53,90,61,64,19,5,4,32,39,39,55,140,44,12,2,136
139,30,39,10,1,56,62,128,29,27,12,20,18,16,86,62,78,54,15,1,117
31,46,32,15,0,38,35,41,35,50,14,23,16,4,99,77,149,97,22,72,104
13,10,65,7,0,54,94,38,33,5,14,37,53,28,145,95,49,134,19,32,75
