3514,2533,3953
4564,1974,3462
4278,1493,4229
3752,1764,4484
3440,1858,4702
3593,2948,3459
3203,4015,2782
3495,3514,2991
3669,2998,3333
3385,2956,3659
3556,2544,3900
3056,3881,3063
3077,3845,3078
3314,3740,2946
4732,2121,3147
3691,1134,5175
3091,3380,3529
2484,2940,4576
2733,3385,3882
2835,2584,4581
3170,2181,4649
3460,2298,4242
2798,2206,4996
2945,3304,3751
2704,2858,4438
1419,4062,4519
2313,4033,3654
2695,3292,4013
2385,2729,4886
2408,2356,5236
2732,3561,3707
2517,2518,4965
2269,2672,5059
2205,2786,5009
2319,3457,4224
3756,2911,3333
4582,1925,3493
3367,2394,4239
3045,3235,3720
