Episode,Average Fitness
0,-843.2724752276292
1,-856.3785436373014
2,-862.3098584653134
3,-865.0310181338596
4,-866.5516958045669
5,-867.6969205131653
6,-868.4799595219821
7,-869.3083470281831
8,-869.8631261489093
9,-870.487198539473
10,-871.0436182835266
11,-871.3345548503175
12,-871.7674147827656
13,-872.1795374685149
14,-872.6055084008043
15,-873.0787202521324
16,-873.4843730397788
17,-873.8589162485125
18,-874.1001540803915
19,-874.3845527574367
