3465,3156,3379
3257,2548,4195
4072,1253,4675
3801,1083,5116
3298,1137,5565
3438,1186,5376
2096,1668,6236
3568,1458,4974
4918,2182,2900
4978,1865,3157
5703,1277,3020
4798,1991,3211
3972,2201,3827
4924,1924,3152
4886,929,4185
3235,1098,5667
2669,1268,6063
3066,536,6398
3233,676,6091
2751,800,6449
1636,912,7452
1194,745,8061
4481,463,5056
4999,516,4485
5046,902,4052
4634,811,4555
3123,683,6194
2760,554,6686
1962,872,7166
1530,772,7698
2132,654,7214
4094,699,5207
2817,1207,5976
2996,1298,5706
4023,1256,4721
4749,936,4315
5672,477,3851
5153,666,4181
3516,1207,5277
4094,752,5154
