3322,2652,4026
3914,2017,4069
2473,3150,4377
4112,1547,4341
4417,2113,3470
3731,1957,4312
3999,2349,3652
3574,1905,4521
4147,1837,4016
4056,1891,4053
4022,1450,4528
3962,2050,3988
3858,2087,4055
4026,2330,3644
4193,1816,3991
3938,1997,4065
3397,1886,4717
3219,1855,4926
3494,1586,4920
3439,2276,4285
3466,2348,4186
5151,1501,3348
3712,1903,4385
4309,2016,3675
3843,1261,4896
3272,2772,3956
4050,1964,3986
4057,1394,4549
4410,967,4623
3742,1968,4290
3529,2446,4025
3364,1822,4814
4402,1582,4016
3513,2073,4414
3067,2154,4779
3073,2296,4631
4049,1792,4159
4257,1990,3753
4425,2175,3400
