Function Number,Mean Error,Standard Deviation,Mean Time
1,2.0463630789890886e-13,6.82121026329696e-14,27.38249832789103
2,2054493.9983537549,862169.3089631388,58.72533015410105
3,78049205.6166014,77526298.08708616,54.20608483950297
4,17019.987050338364,3468.2163553984155,45.49210984706879
5,1.1747639897900324e-13,2.040741191776193e-14,38.519598094622296
6,16.266923558610628,4.184897226727094,47.00798653761546
7,67.3361405184034,16.953164787923015,75.1882094860077
8,20.91189670804863,0.051010648400671474,79.75315005779267
9,28.297200782107765,2.197719090807762,331.8899527390798
10,0.11935872587874315,0.05946926804545052,55.662726926803586
11,64.72753959411752,16.428011025373532,103.98497653007507
12,84.60050154099802,16.946235511970713,92.16183040936788
13,135.42695925355468,23.28743516908981,107.21855456829071
14,2649.278085850156,329.37627234298486,101.37184957663219
15,3936.3576074968387,567.1584929472679,119.35408669312795
16,1.632999979023605,0.3761011054983192,435.2773512125015
17,104.42423557358234,14.96616464283682,138.00948185125986
18,167.71576013182306,33.255374184681514,120.42160893281302
19,5.386821811048278,1.2319086093124567,62.12324042320252
20,11.833228389474407,0.4791701892900209,76.75781439145406
21,243.33335448343635,55.876832312024206,273.2535241524378
22,2992.462147755885,472.1154484802846,383.71492261886596
23,4558.091409377581,687.3408162945576,332.75916056632997
24,274.9524781788963,6.861381002825748,551.2891154050827
25,290.6661475681529,6.26457303050003,599.7603669087092
26,228.33474869611388,63.12899939762751,675.0976577599844
27,1032.1319641828698,56.35820360718439,624.8571497360865
28,300.00000000000034,1.1368683772161603e-13,392.38395401636757
