Function Number,Run Number,Error,Time
6,18,14.026757400215274,11.835919380187988
6,19,16.243125137403467,10.542084693908691
6,20,15.112333049362746,11.664365291595459
6,21,15.30216108850982,10.54994010925293
6,22,74.63159778140744,10.50580620765686
6,23,3.3357473214642823,10.58299207687378
6,24,6.982410549701626,10.755861759185791
6,25,16.3685324775156,10.59476637840271
6,26,15.637935607306645,10.560645341873169
6,27,15.21162558963556,10.525071859359741
6,28,22.7861669847872,10.710631132125854
6,29,16.381045912420518,13.476872205734253
6,30,15.131198202529276,10.499569177627563
7,1,52.1561146404847,23.150976181030273
7,2,57.09820497652481,23.907426595687866
7,3,58.61927901067406,26.24306583404541
7,4,34.48724546330436,21.046360731124878
7,5,65.44053478931937,23.25401282310486
7,6,45.80044567654966,21.19928765296936
7,7,63.099614944415634,25.936559438705444
7,8,51.111883478533855,24.746974229812622
7,9,45.85385391925843,24.577362060546875
7,10,68.52896392340324,25.407171726226807
7,11,48.86236358282099,21.62818932533264
7,12,47.063591784101845,20.666104078292847
7,13,88.11367353433445,22.93968629837036
7,14,62.855907348376036,22.013070344924927
7,15,79.09435814840663,21.080914735794067
7,16,43.57097992214358,28.713013172149658
7,17,107.00734433842592,21.35113501548767
7,18,88.27324427619124,22.1936514377594
7,19,76.05709017605318,25.98730492591858
7,20,48.59935604746977,24.35211992263794
7,21,65.2361091907319,21.118436098098755
7,22,86.72109346833304,24.48917508125305
7,23,124.97540025667433,21.496633291244507
7,24,44.66089994227377,22.513625621795654
7,25,65.0527412373699,22.514796018600464
7,26,85.20753382735518,30.452232837677002
7,27,54.746327636693536,21.370702981948853
7,28,50.03765299417955,25.182347059249878
7,29,59.26893077689522,23.25872230529785
7,30,56.081416694906125,21.609883069992065
8,1,20.938674213474314,27.708545684814453
8,2,20.901161931515617,28.70197606086731
8,3,20.932705135263745,29.13497829437256
8,4,20.988460410656216,26.606239080429077
8,5,20.896459943902755,30.77523374557495
8,6,20.97565306106526,31.401713848114014
8,7,20.84926817398889,26.811586380004883
8,8,20.844305270177983,27.389519691467285
8,9,20.907296976890166,27.72944450378418
8,10,20.88341340723923,28.373945474624634
8,11,20.918762892397012,33.06941366195679
8,12,20.986981933250036,26.96643900871277
8,13,21.002520989528648,28.987563371658325
8,14,20.73229262305665,29.234338760375977
8,15,20.95584636077899,31.287400007247925
8,16,20.895458223363903,29.05858540534973
8,17,20.95774427379331,28.70040464401245
8,18,20.96422637890464,29.001651763916016
8,19,20.94927557831045,28.44586730003357
8,20,20.97661527472269,29.673303604125977
8,21,20.973688634297446,26.60268521308899
8,22,20.991838244404903,28.833099365234375
