Function Number,Run Number,Error,Time
1,1,2.2737367544323206e-13,3.5529630184173584
1,2,2.2737367544323206e-13,3.5730085372924805
1,3,2.2737367544323206e-13,3.542019844055176
1,4,2.2737367544323206e-13,3.5589282512664795
1,5,2.2737367544323206e-13,3.5591726303100586
1,6,2.2737367544323206e-13,3.5493247509002686
1,7,2.2737367544323206e-13,3.5492091178894043
1,8,2.2737367544323206e-13,3.578843593597412
1,9,2.2737367544323206e-13,3.608731746673584
1,10,2.2737367544323206e-13,3.559110641479492
1,11,2.2737367544323206e-13,3.681434392929077
1,12,2.2737367544323206e-13,3.620974063873291
1,13,2.2737367544323206e-13,3.6055686473846436
1,14,2.2737367544323206e-13,3.686460494995117
1,15,2.2737367544323206e-13,3.627105951309204
1,16,2.2737367544323206e-13,3.6259584426879883
1,17,4.547473508864641e-13,3.6285436153411865
1,18,2.2737367544323206e-13,3.6127617359161377
1,19,2.2737367544323206e-13,3.621527910232544
1,20,2.2737367544323206e-13,3.628173589706421
1,21,2.2737367544323206e-13,3.6183125972747803
1,22,2.2737367544323206e-13,3.599229574203491
1,23,2.2737367544323206e-13,3.577289581298828
1,24,2.2737367544323206e-13,3.573585033416748
1,25,2.2737367544323206e-13,3.5458929538726807
1,26,2.2737367544323206e-13,3.5739474296569824
1,27,2.2737367544323206e-13,3.557401418685913
1,28,2.2737367544323206e-13,3.561568021774292
1,29,2.2737367544323206e-13,3.5628066062927246
1,30,2.2737367544323206e-13,4.732526063919067
2,1,1124587.497621394,12.82628059387207
2,2,704038.312574148,12.937909841537476
2,3,1448769.7752165843,12.900105953216553
2,4,2163447.6035391046,13.217769622802734
2,5,2983331.343639676,12.934019088745117
2,6,1447509.8859904455,12.99584436416626
2,7,771940.6181635369,13.029348134994507
2,8,657749.8292324621,12.874563217163086
2,9,486313.7716145969,12.891412734985352
2,10,370331.1578053445,12.985440969467163
2,11,1231970.6793312442,12.946789979934692
2,12,926348.2788527969,13.116958141326904
2,13,784373.5347180379,13.061185359954834
2,14,1704770.361029053,12.97330641746521
2,15,1305973.2690249567,12.943096160888672
2,16,2055141.4563024181,12.901760339736938
2,17,693848.1844292864,12.858961820602417
2,18,1973975.6281953268,12.940447330474854
2,19,535745.8571819572,12.821635246276855
2,20,829461.0705291987,12.807389736175537
2,21,805380.5585808438,12.900182485580444
2,22,3711095.211824732,12.87273645401001
2,23,874528.6735272465,12.875446557998657
2,24,1145408.7291423255,12.937028408050537
2,25,1179730.9089998726,12.970099687576294
2,26,357311.3221472763,12.991866111755371
2,27,824033.9569298541,13.020462036132812
2,28,1176816.4790921805,13.011577367782593
2,29,877838.8954567343,12.940528154373169
2,30,1447111.7657772733,13.029999494552612
3,1,1205131658.7147105,13.994898796081543
3,2,641531773.2652305,12.834720849990845
3,3,1063264571.4025751,15.652552604675293
3,4,552989219.9943779,15.01184606552124
3,5,402188603.606721,13.682569980621338
3,6,49028608.00847288,15.185795783996582
3,7,46552600.67196386,14.385576725006104
3,8,278198923.8976494,14.87694263458252
3,9,57846400.10573776,13.95486330986023
3,10,526163341.8627822,13.187689542770386
3,11,1901171502.2036576,15.449946165084839
3,12,120965389.36481903,13.29822301864624
3,13,3018442.231873499,15.82963514328003
3,14,1122390565.5011556,13.498729467391968
3,15,4810038.916143238,13.728032350540161
3,16,195917786.93393016,13.170347213745117
3,17,13455127.214469904,13.749401092529297
3,18,29773073.13326418,13.070150136947632
3,19,253003677.1516451,12.345728635787964
3,20,1332741560.5982184,13.124853372573853
3,21,245178680.62025875,14.246437549591064
3,22,102576125.42626199,13.532386302947998
3,23,379808496.367295,13.752615213394165
3,24,283137295.5990581,13.915663003921509
3,25,187059442.79511222,12.285984992980957
3,26,46753423.69099729,15.564266204833984
3,27,828019586.6404579,14.5929434299469
3,28,121782488.35282367,13.024844646453857
3,29,223516253.45433435,13.614573955535889
3,30,946790230.1396811,14.41889500617981
4,1,369.4474977681617,9.621506690979004
4,2,657.576847992741,9.622535943984985
4,3,562.4338738430081,9.631761074066162
4,4,480.8006668140706,9.610683917999268
4,5,1216.5993712427896,9.600371599197388
4,6,282.74438555844245,9.632774591445923
4,7,188.78837849277897,9.573554754257202
4,8,357.7433103501603,9.686918497085571
4,9,1469.2331569434928,9.698890209197998
4,10,1146.8155279451612,9.626312494277954
4,11,768.8134192486249,9.660691738128662
4,12,601.4214980495882,9.660403490066528
4,13,932.3130247267145,9.626131057739258
4,14,684.0718778608688,9.644158363342285
4,15,820.6040022900938,9.735202312469482
4,16,520.2128512720443,9.576691150665283
4,17,732.3028907463652,9.557238101959229
4,18,821.2035964302714,9.553780555725098
4,19,514.6726660763809,9.916469097137451
4,20,935.5947524224827,9.577516794204712
4,21,569.0525767768055,9.625419616699219
4,22,488.31862488064564,9.54804515838623
