Function Number,Run Number,Error,Time
5,27,1.1368683772161603e-13,40.07571744918823
5,28,1.1368683772161603e-13,41.67775917053223
5,29,1.1368683772161603e-13,39.13296365737915
5,30,1.1368683772161603e-13,35.898316860198975
6,1,16.393402720984,47.28507375717163
6,2,14.753724241793066,49.51511216163635
6,3,17.738459557659326,45.3997597694397
6,4,19.386362379724574,67.5379753112793
6,5,15.34893376951436,48.761725664138794
6,6,15.522005158211755,48.874125719070435
6,7,16.36856996871495,43.05079984664917
6,8,15.50156165883584,42.788076877593994
6,9,16.369980726821154,42.7242476940155
6,10,15.835602910050284,55.67896771430969
6,11,26.423350965696045,42.35918736457825
6,12,1.8384352779019082,42.76331567764282
6,13,17.970504072824156,45.97886872291565
6,14,16.368553855759274,45.83982253074646
6,15,16.068132900721253,42.98435115814209
6,16,17.447292255834554,49.42605447769165
6,17,16.36965202154954,45.156168699264526
6,18,15.025440193943155,43.37751293182373
6,19,16.390410915073744,42.394410610198975
6,20,19.416870579882925,43.174185037612915
6,21,16.368685825316902,47.283571004867554
6,22,7.944350538214849,56.6975839138031
6,23,14.06962323612538,47.63981604576111
6,24,15.955750832280046,46.8111207485199
6,25,16.370042791953665,46.52359175682068
6,26,16.36864161620008,48.24399781227112
6,27,15.0385153969562,44.674418449401855
6,28,15.285866913120117,45.611621379852295
6,29,17.640349212567344,43.00235462188721
6,30,26.428634264088373,48.6817786693573
7,1,64.69041152069633,73.19877552986145
7,2,90.3735672830827,70.53580784797668
7,3,66.38965213718234,74.02643990516663
7,4,118.88356065320556,71.46597528457642
7,5,61.40543252519694,68.74355673789978
7,6,68.54370413320305,70.46755051612854
7,7,50.524152948562914,67.44183015823364
7,8,50.558510479290135,67.81479740142822
7,9,40.8837299458844,72.14344215393066
7,10,47.39627287315068,83.61086821556091
7,11,73.95697071233144,76.43336725234985
7,12,52.46229765223245,90.33396291732788
7,13,84.5565476292951,71.15255808830261
7,14,59.736468034250606,74.7004063129425
7,15,51.094374889699,70.72181487083435
7,16,65.70856797924853,69.662832736969
7,17,69.23416144415728,75.07118511199951
7,18,62.28986957913753,71.35893058776855
7,19,84.54564003292285,69.84524416923523
7,20,85.78460212992672,74.13387680053711
7,21,91.18419644211588,71.05366015434265
7,22,60.78373020384731,69.15820002555847
7,23,70.77344214269237,81.74360013008118
7,24,59.969022279225214,75.87631344795227
7,25,61.576864953077575,82.7957091331482
7,26,80.93642796309928,81.77153825759888
7,27,45.060472063216594,107.8887186050415
7,28,44.6800983660213,71.40111446380615
7,29,73.46477681268448,72.0870623588562
7,30,82.63668974346547,79.00714540481567
8,1,20.882936072764323,78.12630915641785
8,2,20.922578380093682,78.70327615737915
8,3,20.974741272115352,73.01711511611938
8,4,20.81180967135515,74.99829649925232
8,5,20.800059004822174,76.72750425338745
8,6,20.92100473737696,72.92346000671387
8,7,20.846304571900987,77.13002181053162
8,8,20.94620789968087,93.69698596000671
8,9,20.941035176845503,86.57723379135132
8,10,20.892854451388303,90.4409544467926
8,11,20.940261225784752,82.07209539413452
8,12,20.915560297069874,84.19884586334229
8,13,20.896598442300274,75.03982615470886
8,14,20.833131905429696,74.14372277259827
8,15,20.834130887463402,76.64991545677185
8,16,20.945183093949822,76.22612476348877
8,17,21.00485353210763,75.74755525588989
8,18,20.94868474736677,74.74334216117859
8,19,20.94195800867567,75.42143225669861
8,20,20.88223398080936,83.97252798080444
8,21,20.987873821342077,98.05824398994446
8,22,20.938473539723645,74.65998458862305
8,23,20.963305315085563,79.02074933052063
8,24,20.95875261204469,81.62376594543457
8,25,20.9132635317319,72.73882174491882
8,26,20.88100193740513,74.54455399513245
8,27,20.959679894331884,87.6864697933197
8,28,20.925260479361782,81.89251613616943
8,29,20.8739496751856,86.5571961402893
8,30,20.87321307594607,75.25565481185913
9,1,28.529673610765826,346.817990064621
9,2,27.590911042542757,343.3944833278656
9,3,29.081474161998244,332.2658426761627
9,4,24.057651121800177,344.998984336853
9,5,28.93839542098044,348.879576921463
9,6,28.50825853483218,350.4270899295807
9,7,27.44377332378292,344.38812589645386
9,8,23.65474863795032,329.0580530166626
9,9,24.865881993159064,323.28961062431335
9,10,32.62237080358989,327.6984431743622
9,11,32.2863196958682,339.61788606643677
9,12,30.800427296863973,328.09044575691223
9,13,29.659012792677004,340.49676156044006
9,14,26.47400590171287,337.03131222724915
9,15,26.078230525399135,341.35247802734375
9,16,29.791822621312008,323.13481998443604
9,17,31.167046116802,321.44320249557495
9,18,25.049386209025784,331.64409136772156
9,19,28.95650313648673,327.2676935195923
9,20,28.616636153413538,321.5854206085205
9,21,28.167508229718123,330.03975772857666
9,22,30.720500163345264,325.6227617263794
9,23,29.055701255497297,331.24504804611206
9,24,28.367640780313423,317.80983710289
9,25,25.438017618005347,322.74814653396606
9,26,28.080703831596338,320.7369453907013
9,27,27.993988545306024,324.22342443466187
9,28,30.230087932751644,329.0836355686188
9,29,28.04502246682671,321.17150354385376
9,30,28.644323538909703,331.1352105140686
10,1,0.2021420469686177,50.76975727081299
10,2,0.15034757954396127,50.119080781936646
10,3,0.09851874341620714,50.982762575149536
10,4,0.23899947831188229,50.10710120201111
10,5,0.09364788915269173,49.450236797332764
10,6,0.16264897280092327,49.829588174819946
10,7,0.14782484263423612,50.63309597969055
10,8,0.14536855012192973,50.50534653663635
10,9,0.2789474211356264,51.1292142868042
10,10,0.08628142694351482,51.23299551010132
10,11,0.05669970850476602,51.18512845039368
10,12,0.12316595815707387,50.903496503829956
10,13,0.061609883447545144,52.131120443344116
10,14,0.029576773613825935,52.55963850021362
10,15,0.0887820482622601,51.04300093650818
10,16,0.09109517339300055,50.269755363464355
10,17,0.13803475015839695,49.97422194480896
10,18,0.1624088575555902,50.03675651550293
10,19,0.04428287309502821,49.73850750923157
10,20,0.03942913801949999,49.66463351249695
10,21,0.06896408003075294,51.95215129852295
10,22,0.05177967675524542,49.897540807724
10,23,0.08876480493586314,205.71855187416077
10,24,0.18471662361366725,49.84349775314331
10,25,0.08871314836255806,53.49740815162659
10,26,0.10844493060352534,49.993672609329224
10,27,0.20949621169739885,49.919002056121826
10,28,0.1084104426664112,49.17040038108826
10,29,0.11335265210271928,48.97348737716675
10,30,0.11830709035757536,48.65065670013428
11,1,73.62669232467908,752.0375046730042
11,2,100.49049604914012,80.68797945976257
11,3,64.67225807459994,81.16092276573181
11,4,61.68727972277168,81.15699696540833
11,5,45.76806116523147,83.24223160743713
11,6,71.6368400213554,82.23934364318848
11,7,43.77813801283787,81.13410973548889
11,8,40.79327091720893,75.69508266448975
11,9,54.39220031643197,79.80694770812988
11,10,39.79831186010301,90.27526378631592
11,11,72.63187842058971,87.2677321434021
11,12,49.74788731757843,93.42654919624329
11,13,96.5118718513238,87.6239161491394
11,14,70.64195185842817,79.63064360618591
11,15,72.63185481366969,78.94011211395264
11,16,94.52078713782839,79.24431848526001
11,17,60.69234086239271,79.88237595558167
11,18,41.788313875091035,84.95132994651794
11,19,61.687380889240785,80.97017049789429
11,20,60.6923408623926,79.84703302383423
11,21,76.61150313179212,76.44313931465149
11,22,61.68736777281782,81.67369031906128
11,23,55.71753041803106,79.31628131866455
