Function Number,Mean Error,Standard Deviation,Mean Time
1,1.5916157281026243e-13,1.0419570787589326e-13,4.912763706843058
2,2003820.1461442553,723055.3270507241,14.929109366734822
3,66017444.189446524,64358123.68211858,15.881417512893677
4,17131.75053202955,4631.203644120932,11.512968158721923
5,1.1368683772161603e-13,0.0,9.397154649098715
6,16.70157774766318,11.409509432588706,11.42561747233073
7,64.12273853354014,19.940795005039565,23.480031363169353
8,20.930286601387003,0.058256700530949584,28.7958114862442
9,27.546907326664574,2.143221344071931,155.4293169736862
10,0.1156006283198129,0.06060294318152965,13.868902397155761
11,59.029422144433724,12.34347636134254,26.771520821253457
12,65.94357376908063,15.46070987969975,30.72006725470225
13,133.19090086823033,20.945922200024192,38.08183267911275
14,2461.7259585084767,385.8294249469367,34.350343092282614
15,3795.264662115281,536.7541625514062,36.575024247169495
16,1.7339286766606041,0.4533810788235203,174.92068639596303
17,95.24144164766258,13.282657571425393,58.761388421058655
18,138.24777744733134,25.25475865757454,47.5981376806895
19,5.073651595276101,1.0039020779710082,17.688035559654235
20,11.646232195912766,0.6655403172751527,34.91905802885692
21,234.78480472203853,58.59871151890642,118.64126421610514
22,2814.2156861929566,365.77111041741193,134.57948938210805
23,4098.051974444968,650.2495067587852,141.6196650505066
24,272.64069171763146,8.338766042577939,280.8628088792165
25,291.7117639187375,7.0958468439365125,255.25402857462566
26,222.73687320529606,57.6225610612355,299.77531355222067
27,1021.4344172621657,62.760262451230915,354.71781126658124
28,293.3333333333337,35.90109871422998,191.4914523601532
