0,3,1,0,6
2,130,59,32,277
1,98,51,56,294
2,133,52,112,201
4,145,60,105,186
7,118,50,111,214
17,113,52,97,221
14,135,51,94,206
23,118,52,117,190
29,87,61,130,193
38,102,53,117,190
37,92,64,126,181
33,101,61,139,166
31,110,82,160,117
32,77,81,137,173
39,93,67,141,160
38,95,67,140,160
35,101,68,135,161
38,102,79,138,143
50,101,54,126,169
72,98,62,126,142
70,90,63,130,147
63,81,71,129,156
54,91,77,101,177
67,112,67,106,148
54,110,58,92,186
50,91,70,102,187
77,92,55,95,181
71,93,43,90,203
91,112,42,72,183
70,107,44,92,187
78,80,39,89,214
85,72,24,60,259
92,119,23,73,193
104,128,22,70,176
86,119,16,90,189
82,104,16,100,198
79,135,24,88,174
121,125,28,85,141
82,129,51,86,152
