1,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-464.79355,64.79354858398438,0.061169934
1,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-551.584,151.583984375,0.5013174
1,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-436.15845,36.158447265625,0.011363687
2,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-423.08377,23.083770751953125,0.0068624937
3,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-452.75214,52.75213623046875,0.022919651
4,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-484.50742,84.50741577148438,0.14442067
5,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-512.19366,112.19366455078125,0.0021441844
6,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-501.57486,101.57485961914062,0.006633787
7,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-269.36304,-130.636962890625,0.003009161
8,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-552.5225,152.52252197265625,0.0017192997
9,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-578.61426,178.6142578125,0.0024151027
10,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-438.23242,38.232421875,0.0049360553
11,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-423.645,23.644989013671875,0.015377363
12,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-340.52917,-59.4708251953125,0.020822432
1,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-73.670166,-326.329833984375,0.21852973
2,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-89.44025,-310.55975341796875,0.18899399
3,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-92.79501,-307.2049865722656,0.110705435
4,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-183.5717,-216.4282989501953,0.12520413
5,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-104.66399,-295.3360137939453,0.059931822
6,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-144.52394,-255.47605895996094,0.051588904
7,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-508.01993,108.01992797851562,0.18364464
8,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-72.63206,-327.3679428100586,0.14277795
9,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-444.6256,44.6256103515625,0.060405903
10,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-297.57718,-102.42282104492188,0.05052994
11,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-86.56125,-313.4387512207031,0.08782878
12,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-70.704636,-329.2953643798828,0.031758808
13,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-181.7915,-218.20849609375,0.07617621
14,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-65.43924,-334.5607604980469,0.009916502
15,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-351.03525,-48.964752197265625,0.17657092
16,"tf.Tensor(0.60653067, shape=(), dtype=float32)",-161.99213,-238.00787353515625,0.002515335
