2648,5045,2356,2924,19027
1393,3837,1356,1552,23862
1064,3545,1079,1253,25059
1082,3052,1029,1075,25762
894,3103,1025,901,26077
897,2737,939,995,26432
866,3766,853,1403,25112
878,4572,893,1668,23989
949,5396,990,1673,22992
930,6330,1017,1802,21921
1006,7077,1081,1756,21080
1169,7499,1004,1773,20555
1309,7656,1098,1642,20295
1394,7835,1071,1763,19937
1399,7640,1143,1739,20079
1489,7698,1134,1729,19950
1470,7728,1220,1661,19921
1495,7664,1215,1673,19953
1445,7910,1222,1679,19744
1489,7937,1267,1690,19617
1563,8004,1249,1758,19426
1556,8120,1328,1740,19256
1697,8090,1242,1874,19097
1614,8320,1435,1837,18794
1639,8145,1271,1929,19016
1634,8064,1309,1907,19086
1619,8067,1329,1857,19128
1654,7893,1390,1894,19169
1650,7986,1363,1902,19099
1645,7896,1437,1964,19058
1610,7852,1360,2050,19128
1641,7887,1418,2057,18997
1655,7864,1390,2047,19044
1698,7696,1442,2089,19075
1675,7801,1499,2030,18995
1669,7696,1499,2099,19037
1695,7666,1466,2065,19108
1699,7601,1590,2092,19018
1729,7411,1461,2097,19302
1686,7587,1487,2148,19092
1818,7516,1537,2102,19027
1836,7348,1566,2219,19031
1860,7524,1572,2139,18905
1923,7511,1574,2177,18815
1855,7340,1530,2110,19165
1815,7332,1560,2138,19155
1893,7049,1575,2241,19242
1976,7099,1581,2241,19103
1911,7104,1562,2268,19155
1934,7148,1550,2299,19069
1980,7030,1598,2304,19088
1962,7040,1493,2345,19160
1986,7014,1561,2187,19252
1919,7060,1533,2346,19142
1956,6959,1550,2268,19267
1996,7047,1578,2191,19188
1992,6986,1573,2263,19186
1983,7006,1517,2210,19284
2020,7043,1590,2279,19068
2019,6991,1500,2204,19286
2020,6976,1578,2219,19207
2100,6947,1508,2237,19208
1974,6945,1529,2257,19295
2055,7073,1525,2316,19031
2037,6941,1510,2267,19245
2075,6924,1535,2301,19165
2132,6916,1475,2361,19116
2082,6881,1484,2381,19172
2070,6847,1459,2311,19313
2118,6906,1454,2366,19156
2035,6934,1489,2307,19235
2111,6903,1460,2411,19115
2051,6911,1440,2423,19175
2104,6837,1492,2343,19224
2111,6795,1477,2355,19262
2073,6964,1420,2329,19214
2140,6731,1527,2371,19231
2146,6785,1482,2447,19140
2176,6667,1565,2356,19236
2138,6775,1476,2353,19258
2146,6841,1454,2402,19157
2161,6804,1494,2431,19110
2186,6774,1447,2383,19210
2097,6629,1492,2459,19323
2193,6593,1463,2408,19343
2178,6793,1446,2365,19218
2195,6783,1492,2421,19109
2204,6706,1434,2404,19252
2218,6650,1462,2403,19267
2254,6572,1409,2396,19369
2289,6608,1457,2398,19248
2263,6427,1445,2319,19546
2193,6563,1468,2396,19380
2236,6581,1442,2479,19262
2261,6602,1457,2389,19291
2253,6558,1395,2410,19384
2271,6693,1392,2339,19305
2162,6529,1419,2299,19591
2159,6582,1502,2401,19356
2173,6654,1463,2277,19433
2063,6575,1428,2323,19611
2216,6656,1389,2384,19355
