Step #55 Reward:-53.72749414786085 Current Epsilon: 0.806401091816245
Step #56 Reward:-43.78679602012056 Current Epsilon: 0.8032535796798504
Step #57 Reward:-65.6671088278093 Current Epsilon: 0.800118507045047
Step #58 Reward:-62.68231872544857 Current Epsilon: 0.7969958247488153
Step #59 Reward:-80.59147541265796 Current Epsilon: 0.7938854838224366
Step #60 Reward:-44.775008179829456 Current Epsilon: 0.7907874354907252
Step #61 Reward:-47.38683043164201 Current Epsilon: 0.7877016311712625
Step #62 Reward:-47.76169804021154 Current Epsilon: 0.7846280224736363
Step #63 Reward:-36.81344846612774 Current Epsilon: 0.7815665611986817
Step #64 Reward:-50.18397235870361 Current Epsilon: 0.7785171993377247
Step #65 Reward:-84.57135349455226 Current Epsilon: 0.7754798890718299
Step #66 Reward:-71.63688208561445 Current Epsilon: 0.7724545827710502
Step #67 Reward:-48.88883605037674 Current Epsilon: 0.7694412329936805
Step #68 Reward:-86.56119375095659 Current Epsilon: 0.7664397924855131
Step #69 Reward:-45.514226202073274 Current Epsilon: 0.7634502141790971
Step #70 Reward:-43.77811821929197 Current Epsilon: 0.760472451193
Step #71 Reward:-88.81377510159837 Current Epsilon: 0.7575064568310728
Step #72 Reward:-64.67222116947232 Current Epsilon: 0.7545521845817174
Step #73 Reward:-55.7176139803741 Current Epsilon: 0.7516095881171576
Step #74 Reward:-32.83363570837696 Current Epsilon: 0.7486786212927126
Step #75 Reward:-58.37789132318824 Current Epsilon: 0.7457592381460727
Step #76 Reward:-78.61091130971909 Current Epsilon: 0.7428513928965793
Step #77 Reward:-57.33405894243353 Current Epsilon: 0.7399550399445072
Step #78 Reward:-69.64696583186742 Current Epsilon: 0.7370701338703479
Step #79 Reward:-54.06759557789064 Current Epsilon: 0.7341966294340997
Step #80 Reward:-67.65703415718573 Current Epsilon: 0.7313344815745565
Step #81 Reward:-89.59934592247009 Current Epsilon: 0.7284836454086016
Step #82 Reward:-59.697502542639654 Current Epsilon: 0.7256440762305042
Step #83 Reward:-57.886430740356445 Current Epsilon: 0.722815729511218
Step #84 Reward:-61.650366712361574 Current Epsilon: 0.7199985608976834
Step #85 Reward:-51.38379335697857 Current Epsilon: 0.7171925262121313
Step #86 Reward:-57.714221239089966 Current Epsilon: 0.7143975814513903
Step #87 Reward:-92.15518066631245 Current Epsilon: 0.7116136827861976
Step #88 Reward:-57.42386967787871 Current Epsilon: 0.7088407865605109
Step #89 Reward:-54.72262331994898 Current Epsilon: 0.706078849290824
Step #90 Reward:-96.51148469461182 Current Epsilon: 0.7033278276654846
Step #91 Reward:-59.69738696503833 Current Epsilon: 0.7005876785440157
Step #92 Reward:-49.74790651982809 Current Epsilon: 0.6978583589564388
Step #93 Reward:-39.18518728017807 Current Epsilon: 0.6951398261025996
Step #94 Reward:-73.62685635325434 Current Epsilon: 0.6924320373514979
Step #95 Reward:-54.71721076965332 Current Epsilon: 0.689734950240618
Step #96 Reward:-65.66719261584444 Current Epsilon: 0.6870485224752635
Step #97 Reward:-101.81862655799509 Current Epsilon: 0.6843727119278935
Step #98 Reward:-60.90194225311279 Current Epsilon: 0.6817074766374627
Step #99 Reward:-57.70753321619122 Current Epsilon: 0.6790527748087627
Step #100 Reward:-37.80841339358733 Current Epsilon: 0.6764085648117668
Step #101 Reward:-58.70248917650338 Current Epsilon: 0.6737748051809773
Step #102 Reward:-65.68858964665532 Current Epsilon: 0.6711514546147753
Step #103 Reward:-55.717655035586915 Current Epsilon: 0.6685384719747729
Step #104 Reward:-63.02129171048986 Current Epsilon: 0.6659358162851677
Step #105 Reward:-56.846452427770885 Current Epsilon: 0.6633434467321012
Step #106 Reward:-53.38054847717285 Current Epsilon: 0.6607613226630177
Step #107 Reward:-70.27538910019325 Current Epsilon: 0.6581894035860276
Step #108 Reward:-52.75892977013973 Current Epsilon: 0.6556276491692719
Step #109 Reward:-49.75117588043213 Current Epsilon: 0.65307601924029
Step #110 Reward:-52.7327543053309 Current Epsilon: 0.6505344737853899
Step #111 Reward:-47.757993183727905 Current Epsilon: 0.6480029729490202
Step #112 Reward:-74.55261110293213 Current Epsilon: 0.6454814770331455
Step #113 Reward:-44.77321648597717 Current Epsilon: 0.6429699464966239
Step #114 Reward:-45.76805538813065 Current Epsilon: 0.6404683419545864
Step #115 Reward:-48.88705825805664 Current Epsilon: 0.6379766241778202
Step #116 Reward:-57.23992016045767 Current Epsilon: 0.6354947540921526
Step #117 Reward:-61.70029264688492 Current Epsilon: 0.633022692777839
