3408,2796,3796
4001,1421,4578
3738,994,5268
4583,2583,2834
3545,3836,2619
5251,2791,1958
6830,1260,1910
7374,481,2145
3698,2136,4166
3125,2536,4339
4131,1855,4014
4218,1633,4149
3991,2021,3988
2936,1529,5535
1904,2964,5132
3959,2386,3655
4367,1714,3919
4532,1175,4293
4050,2119,3831
4699,1615,3686
4629,1675,3696
3841,2273,3886
5233,1792,2975
4054,1807,4139
3802,2115,4083
5002,1666,3332
4618,2032,3350
4712,1944,3344
4421,1915,3664
4088,1869,4043
4311,2065,3624
5122,1922,2956
5048,1778,3174
4186,1568,4246
4607,1655,3738
4109,2049,3842
4449,1712,3839
4761,1790,3449
5168,1736,3096
4695,1578,3727
