Episode,Average Fitness
0,5480.000931116238
1,4521.5150215515
2,4309.395912642784
3,4235.070467663705
4,4209.738670432888
5,4198.97978960075
6,4193.369739927585
7,4190.117937333452
8,4188.095693199907
9,4186.762872080074
10,4185.693134583315
11,4184.600456812049
12,4183.600982610598
13,4182.65949037441
14,4182.16179045738
15,4181.721517213052
16,4181.312808428577
17,4181.031432708155
18,4180.819535289257
19,4180.59763627884
