227,220,193,200,160
179,146,204,280,191
268,228,183,139,182
270,326,100,104,200
277,254,223,51,195
243,303,249,124,81
188,243,187,162,220
194,184,130,187,305
219,165,133,77,406
281,248,170,71,230
251,449,91,52,157
67,501,117,47,268
46,311,242,142,259
124,139,240,280,217
275,114,193,297,121
227,92,448,80,153
219,285,188,25,283
226,195,155,26,398
252,278,119,248,103
240,222,96,259,183
428,48,132,360,32
345,163,114,253,125
186,82,270,106,356
265,288,95,99,253
102,214,332,185,167
239,144,181,173,263
452,28,265,162,93
193,204,269,196,138
130,126,425,63,256
206,331,191,148,124
322,53,188,405,32
94,383,262,175,86
444,40,281,112,123
301,56,389,192,62
290,280,110,79,241
371,39,250,91,249
329,117,232,106,216
150,342,256,180,72
152,148,188,296,216
189,264,131,173,243
