Episode,Average Fitness
0,-574.3810871937438
1,-574.4800143185086
2,-574.4957787995493
3,-574.498758503888
4,-574.5017949166963
5,-574.5061476689044
6,-574.5098034523771
7,-574.5222429743596
8,-574.523420776617
9,-574.5266405781582
10,-574.5289256807829
11,-574.5335019450046
12,-574.5389383330441
13,-574.5470724548545
14,-574.548283894591
15,-574.5491860673874
16,-574.5514386503345
17,-574.5524875475787
18,-574.5534795161933
19,-574.5536111824138
