3637,2156,4207
3694,2115,4191
4028,1584,4388
5045,1490,3465
4301,1833,3866
4251,1796,3953
3817,2360,3823
4447,1677,3876
3344,2080,4576
4085,1953,3962
3469,2232,4299
3979,2667,3354
4583,1169,4248
4592,2038,3370
3741,2332,3927
3912,2476,3612
4153,1624,4223
4060,1775,4165
3783,2213,4004
3544,1838,4618
4140,1619,4241
3873,1744,4383
3801,1577,4622
4187,1893,3920
4011,1384,4605
3678,2696,3626
3627,1943,4430
4209,1418,4373
3891,1420,4689
3281,1799,4920
3677,1610,4713
3864,2228,3908
4140,1377,4483
3887,2057,4056
4430,2019,3551
4039,2411,3550
3924,2406,3670
3960,2176,3864
3518,2508,3974
