124,88,93,76,86,79,81,105,91,87,90
171,72,90,87,73,99,74,91,97,75,71
212,69,72,65,83,129,67,86,99,64,54
91,81,92,69,74,104,83,67,113,117,109
55,92,92,73,140,74,49,96,111,136,82
97,128,119,95,72,67,74,88,53,90,117
88,110,130,91,85,64,86,55,72,85,134
87,112,149,82,78,40,76,81,89,82,124
105,122,107,69,68,54,46,56,107,141,125
134,79,111,75,46,145,66,64,85,104,91
291,74,88,79,39,78,35,54,80,71,111
88,83,89,51,50,54,213,105,68,127,72
39,29,156,60,20,41,277,18,42,53,265
28,35,104,152,14,21,111,88,21,32,394
42,75,125,123,55,34,64,41,54,75,312
36,151,126,46,77,66,24,112,110,95,157
38,312,131,21,82,70,64,97,68,57,60
63,124,197,37,32,57,157,19,70,107,137
114,143,148,73,57,81,142,49,35,76,82
86,299,13,32,61,40,13,280,88,74,14
92,199,74,80,49,33,23,179,139,112,20
