3174,2336,4490
3113,2456,4431
3124,2469,4407
2780,2495,4725
3485,2766,3749
4024,1991,3985
4166,2381,3453
4838,1795,3367
3688,2939,3373
4135,2340,3525
3804,2560,3636
5178,2136,2686
6293,1393,2314
6455,1551,1994
6603,1167,2230
6082,1903,2015
5723,2581,1696
5341,3334,1325
5760,2440,1800
5594,2830,1576
5981,2022,1997
5227,1769,3004
4175,2162,3663
3953,2898,3149
2947,2779,4274
2647,3270,4083
4338,2587,3075
3776,2793,3431
3837,2487,3676
3893,2431,3676
4333,1826,3841
3827,2638,3535
4073,1661,4266
4201,2634,3165
5329,2325,2346
3672,2533,3795
4109,2415,3476
3442,3244,3314
3976,2302,3722
2454,3800,3746
