417,72,68,70,75,60,74,91,73
197,101,103,98,77,96,96,136,96
234,75,63,95,97,70,91,168,107
280,75,70,76,70,70,77,173,109
295,57,71,65,76,62,68,175,131
106,85,55,117,101,68,134,193,141
66,57,45,55,86,54,140,181,316
88,61,56,113,156,56,141,64,265
98,97,41,138,151,35,140,86,214
90,35,74,91,126,26,286,59,213
90,54,34,166,123,37,171,53,272
84,50,30,129,194,31,109,52,321
100,42,30,76,74,35,200,141,302
84,26,31,299,156,21,70,76,237
123,29,26,54,41,33,336,104,254
90,22,28,137,53,19,177,166,308
111,24,16,173,36,18,64,249,309
153,37,18,60,20,15,40,242,415
101,88,22,174,23,14,44,278,256
101,94,16,285,27,14,14,295,154
48,80,12,193,31,15,107,302,212
64,44,14,343,39,14,32,201,249
68,37,18,73,18,15,55,460,256
90,71,11,318,13,30,50,115,302
47,39,13,309,85,13,32,126,336
71,226,13,88,89,4,27,153,329
98,24,11,102,264,2,41,306,152
67,80,20,94,20,624,24,24,47
197,78,28,133,52,53,109,316,34
87,100,28,49,36,9,16,568,107
108,64,20,90,20,264,14,301,119
89,15,63,72,25,86,166,342,142
122,130,29,26,30,121,51,358,133
204,51,25,46,18,342,15,215,84
99,29,145,161,6,229,13,218,100
