141,201,123,122,140,136,137
129,258,131,123,136,110,113
105,350,110,116,94,115,110
79,454,94,84,88,103,98
99,509,80,83,70,81,78
86,99,63,71,65,120,496
69,125,60,64,55,132,495
63,95,56,51,54,133,548
46,85,49,53,49,122,596
33,84,46,50,32,293,462
46,78,39,29,48,500,260
44,92,39,42,42,511,230
37,95,33,26,31,326,452
18,92,26,21,39,62,742
22,87,34,21,25,78,733
26,151,20,22,17,365,399
21,78,20,22,19,585,255
23,67,16,14,25,626,229
8,57,12,13,14,506,390
10,80,13,5,17,617,258
8,133,10,19,10,415,405
9,136,10,15,16,517,297
14,115,9,13,8,602,239
7,83,12,10,5,530,353
12,92,41,11,6,608,230
