3197,2874,3929
2992,2985,4023
3207,2864,3929
3031,2968,4001
3270,2457,4273
3012,2783,4205
1848,2419,5733
1821,3105,5074
1332,3653,5015
796,1216,7988
607,881,8512
882,1370,7748
813,925,8262
421,795,8784
290,1208,8502
544,956,8500
589,639,8772
873,611,8516
1040,1292,7668
5406,694,3900
1369,648,7983
5176,219,4605
6374,459,3167
7679,664,1657
7513,1267,1220
7185,1635,1180
9421,280,299
9698,120,182
9705,122,173
8761,223,1016
2369,506,7125
2204,539,7257
5005,644,4351
2232,1450,6318
4273,1201,4526
1766,1354,6880
1173,662,8165
1339,827,7834
1827,184,7989
5544,160,4296
