Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity
2,Increase Threshold for Replacement,1.0,1.4961802,1.4961802
4,Encourage individual learning,1.0,1.34656218,1.64579822
2,Increase Threshold for Replacement,1.0,1.34656218,1.64579822
3,Encourage social learning,1.0,1.4812183980000002,1.4812183980000002
4,Encourage individual learning,1.0,1.3330965582000003,1.6293402378000004
4,Encourage individual learning,1.0,1.1997869023800003,1.7922742615800005
3,Encourage social learning,1.0,1.3197655926180005,1.6130468354220004
3,Encourage social learning,1.0,1.4517421518798006,1.4517421518798004
2,Increase Threshold for Replacement,1.0,1.4517421518798006,1.4517421518798004
2,Increase Threshold for Replacement,1.0,1.4517421518798006,1.4517421518798004
2,Increase Threshold for Replacement,1.0,1.4517421518798006,1.4517421518798004
3,Encourage social learning,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
2,Increase Threshold for Replacement,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
0,Do nothing,1.0,1.5969163670677808,1.3065679366918204
