3618,4365,3118,2952,17947
1628,5603,1813,1703,21253
1420,5729,1588,3407,19856
1225,5362,1308,6268,17837
1183,5219,1117,7624,16857
1278,5221,1031,8188,16282
1203,5190,1040,8348,16219
1178,4882,1266,7980,16694
1084,4639,1333,8015,16929
1086,4557,1548,7792,17017
1021,4279,1676,7977,17047
1036,4196,1699,7953,17116
1141,3968,1928,7696,17267
1263,3736,1883,7462,17656
1354,3756,1883,7491,17516
1628,3600,1872,7398,17502
1884,3651,1762,7343,17360
2067,3552,1817,7348,17216
2153,3579,1812,7323,17133
2394,3491,1743,7287,17085
2559,3337,1737,7336,17031
2631,3387,1702,7250,17030
2681,3239,1693,7528,16859
2744,3093,1723,7460,16980
2791,3180,1753,7443,16833
2835,3073,1721,7499,16872
2818,3028,1669,7381,17104
2969,2917,1782,7497,16835
2939,2858,1719,7516,16968
2919,2927,1734,7567,16853
2913,2854,1855,7589,16789
2991,2821,1793,7457,16938
3040,2808,1812,7559,16781
2988,2911,1731,7563,16807
3097,2918,1687,7413,16885
3093,2831,1771,7590,16715
3101,2838,1770,7554,16737
3057,2912,1841,7473,16717
3235,2783,1701,7601,16680
2996,2862,1734,7648,16760
