303,147,166,225,159
228,74,473,130,95
206,58,242,73,421
707,126,35,64,68
400,366,100,47,87
382,177,109,240,92
563,97,76,176,88
501,104,110,70,215
334,120,240,141,165
298,181,269,134,118
188,174,277,246,115
187,222,299,216,76
189,215,292,250,54
161,225,294,259,61
146,220,290,297,47
136,214,271,358,21
165,198,257,349,31
183,168,237,367,45
159,237,279,272,53
158,190,263,364,25
119,204,246,387,44
84,204,259,414,39
79,140,269,465,47
162,167,265,355,51
113,205,332,322,28
173,301,274,152,100
484,199,133,36,148
424,323,63,25,165
243,312,172,116,157
174,381,124,78,243
206,378,124,109,183
189,304,123,199,185
208,369,231,39,153
175,413,267,71,74
139,412,220,134,95
122,295,227,284,72
187,231,112,443,27
211,261,109,360,59
62,494,187,98,159
61,363,162,31,383
