Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity
4,Encourage individual learning,1.0,1.34656218,1.64579822
4,Encourage individual learning,1.0,1.2119059620000001,1.8103780420000002
4,Encourage individual learning,1.0,1.0907153658000002,1.9914158462000005
3,Encourage social learning,1.0,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.95,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.9025,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.8573749999999999,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.8145062499999999,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.7737809374999999,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.7350918906249998,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.6983372960937497,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.6634204312890623,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.6302494097246091,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.5987369392383786,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.5688000922764596,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.5403600876626365,1.1997869023800003,1.7922742615800005
1,Decrease Threshold for Replacement,0.5133420832795047,1.1997869023800003,1.7922742615800005
4,Encourage individual learning,0.5133420832795047,1.0798082121420003,1.9715016877380007
4,Encourage individual learning,0.5133420832795047,0.9718273909278002,2.168651856511801
4,Encourage individual learning,0.5133420832795047,0.88,2.3855170421629817
