193,156,172,112,141,226
189,171,142,141,133,224
149,146,127,175,161,242
81,125,183,188,191,232
174,156,130,122,203,215
228,137,136,158,151,190
228,131,175,147,139,180
189,144,111,210,121,225
151,122,126,189,171,241
138,100,131,190,250,191
117,133,115,171,231,233
102,137,125,188,281,167
70,142,115,168,330,175
104,175,72,177,305,167
71,143,76,212,272,226
71,137,61,268,267,196
39,93,137,326,95,310
22,101,239,194,121,323
206,323,195,127,26,123
186,67,63,213,20,451
69,371,57,107,53,343
279,56,36,222,327,80
118,23,9,100,655,95
271,236,101,82,192,118
262,251,23,170,141,153
19,83,298,394,4,202
5,107,22,253,194,419
6,10,237,220,380,147
0,200,141,7,196,456
0,336,3,440,158,63
2,143,100,317,121,317
23,141,41,106,277,412
60,354,222,3,77,284
82,42,278,118,180,300
103,41,63,280,240,273
776,82,1,100,3,38
379,176,198,103,20,124
103,176,298,162,142,119
158,138,138,165,261,140
81,201,417,159,62,80
83,41,435,278,83,80
280,40,41,239,315,85
24,495,280,98,2,101
22,300,61,218,376,23
