Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity
4,Encourage individual learning,1.0,1.34656218,1.64579822
4,Encourage individual learning,1.0,1.2119059620000001,1.8103780420000002
4,Encourage individual learning,1.0,1.0907153658000002,1.9914158462000005
3,Encourage social learning,1.0,1.1997869023800003,1.7922742615800005
4,Encourage individual learning,1.0,1.0798082121420003,1.9715016877380007
3,Encourage social learning,1.0,1.1877890333562005,1.7743515189642007
4,Encourage individual learning,1.0,1.0690101300205805,1.951786670860621
4,Encourage individual learning,1.0,0.9621091170185225,2.1469653379466833
4,Encourage individual learning,1.0,0.88,2.361661871741352
0,Do nothing,1.0,0.88,2.361661871741352
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
0,Do nothing,1.0,0.88,2.41
0,Do nothing,1.0,0.88,2.41
3,Encourage social learning,1.0,0.9680000000000001,2.169
4,Encourage individual learning,1.0,0.88,2.3859000000000004
4,Encourage individual learning,1.0,0.88,2.41
0,Do nothing,1.0,0.88,2.41
3,Encourage social learning,1.0,0.9680000000000001,2.169
