79,81,80,78,74,82,98,119,78,97,134
76,79,71,86,80,72,75,57,90,118,196
63,79,58,76,63,52,61,70,60,115,303
174,112,76,60,52,70,92,69,57,122,116
112,56,60,48,90,200,157,104,71,48,54
43,85,65,58,44,179,155,52,176,55,88
67,190,39,66,42,110,114,69,132,47,124
206,161,55,60,34,83,112,33,79,25,152
155,132,114,50,58,41,69,89,116,46,130
187,135,37,87,60,48,49,55,91,27,224
104,171,101,136,43,96,101,52,23,21,152
98,94,51,19,82,142,81,95,88,50,200
32,184,41,38,25,96,81,84,157,29,233
31,220,35,53,26,142,88,166,95,47,97
176,37,60,26,63,207,99,119,71,86,56
80,210,71,48,58,146,172,73,58,57,27
114,168,48,12,19,174,156,136,64,50,59
136,205,42,15,18,148,10,221,131,34,40
40,132,20,39,27,136,92,202,210,33,69
12,37,19,16,5,264,91,244,151,119,42
28,89,17,9,72,147,104,162,262,45,65
69,95,37,7,58,127,136,61,210,50,150
36,26,37,9,10,178,71,139,330,81,83
44,26,73,51,6,150,99,102,160,159,130
87,12,83,11,49,258,133,48,100,157,62
16,67,130,21,9,217,8,69,257,115,91
14,38,37,7,22,203,9,131,256,204,79
9,31,12,12,13,217,21,75,307,212,91
2,51,12,17,8,113,19,37,281,393,67
5,41,34,8,2,186,8,65,466,162,23
33,39,11,31,2,125,21,89,488,90,71
2,40,4,24,15,181,51,63,406,132,82
0,26,4,10,21,236,47,73,337,83,163
1,53,51,30,7,337,37,41,145,199,99
1,24,41,105,51,102,113,72,201,197,93
2,50,68,12,4,156,169,177,215,112,35
4,19,3,51,8,157,142,165,183,121,147
3,0,1,18,15,145,316,104,19,131,248
15,64,1,11,117,172,222,49,103,50,196
36,26,13,56,10,95,140,64,216,126,218
