Episode,Average Fitness
0,-481.9328976987764
1,-497.6495197564601
2,-499.1469768423608
3,-499.5442033946887
4,-499.8581943636322
5,-499.87723945985863
6,-499.87994311678705
7,-499.8799623378465
8,-499.87996233866136
9,-499.8799623386614
10,-499.8799623386614
11,-499.8799623386614
12,-499.8799623386614
13,-499.8799623386614
14,-499.8799623386614
15,-499.8799623386614
16,-499.8799623386614
17,-499.8799623386614
18,-499.8799623386614
19,-499.8799623386614
