Episode,Average Fitness
0,-678.9261369756217
1,-678.9702133433927
2,-678.9930163660033
3,-679.0078702141835
4,-679.0194732967649
5,-679.0280856245362
6,-679.0350109518071
7,-679.0403179319491
8,-679.0454061090668
9,-679.0500173584046
10,-679.0543102190356
11,-679.0580801833132
12,-679.0617933714013
13,-679.0648637467403
14,-679.068702179494
15,-679.0716702245536
16,-679.0742040099083
17,-679.0770771865264
18,-679.0794168125329
19,-679.0824351310108
