Episode,Average Fitness
0,202.74021245625568
1,202.54407422607363
2,202.4121701242634
3,202.3043139346443
4,202.2236204617133
5,202.16058533796038
6,202.10176486183133
7,202.0475254367235
8,202.00553721340873
9,201.9667780417741
10,201.93685057839858
11,201.89906256028223
12,201.86503659355682
13,201.8309419420831
14,201.8025021874244
15,201.78430540285984
16,201.75750658845203
17,201.7360865679812
18,201.71912369569276
19,201.70089684995995
