19,85,176,79,141
23,69,179,67,162
27,90,167,85,131
31,67,168,69,165
45,72,172,75,136
25,107,158,79,131
26,125,135,71,143
43,120,136,72,129
35,115,138,80,132
40,116,146,66,132
31,154,114,72,129
41,120,135,76,128
31,110,146,68,145
18,153,131,75,123
40,120,129,60,151
38,131,150,67,114
27,151,131,73,118
39,125,134,62,140
44,101,149,72,134
26,155,135,80,104
38,132,150,68,112
26,184,105,60,125
44,136,125,61,134
41,152,124,59,124
34,145,123,77,121
57,135,137,69,102
65,170,109,56,100
46,128,141,56,129
44,142,123,72,119
52,138,113,63,134
57,166,96,61,120
67,151,104,66,112
85,88,128,74,125
86,109,113,79,113
100,81,116,77,126
115,74,117,90,104
88,78,133,89,112
62,92,127,94,125
99,62,138,74,127
91,80,113,90,126
91,88,117,64,140
105,92,116,47,140
148,96,103,43,110
151,54,121,42,132
119,149,86,30,116
87,88,160,41,124
129,85,148,31,107
122,59,152,33,134
121,89,127,43,120
164,107,74,33,122
157,68,110,48,117
134,114,102,41,109
211,102,50,28,109
159,63,130,39,109
175,92,94,56,83
194,100,63,38,105
204,76,47,36,137
226,68,58,32,116
245,51,63,41,100
271,38,53,47,91
193,102,76,35,94
291,44,46,24,95
242,69,51,38,100
226,70,60,48,96
182,42,104,31,141
274,62,25,25,114
279,62,28,24,107
245,72,42,30,111
234,64,51,33,118
177,70,84,30,139
259,74,27,22,118
228,67,33,22,150
154,54,109,38,145
82,234,33,8,143
40,141,150,28,141
28,237,48,19,168
41,205,73,21,160
21,252,24,13,190
50,132,45,13,260
31,171,76,17,205
106,173,18,16,187
112,127,68,18,175
106,148,108,28,110
262,68,4,18,148
234,33,52,8,173
161,47,133,16,143
92,49,56,16,287
36,27,7,11,419
22,27,4,9,438
25,27,8,12,428
28,21,9,12,430
32,23,26,7,412
32,25,80,5,358
23,30,74,6,367
40,25,85,8,342
34,15,57,5,389
36,12,71,2,379
36,10,54,9,391
39,19,52,6,384
42,9,46,8,395
36,10,122,12,320
26,20,122,20,312
28,20,118,13,321
28,27,235,11,199
21,13,262,18,186
23,95,198,11,173
18,54,237,14,177
15,27,225,69,164
22,13,95,224,146
18,11,156,158,157
9,109,141,80,161
63,170,30,93,144
17,262,25,29,167
23,107,35,17,318
165,4,23,17,291
112,23,24,14,327
131,36,110,20,203
51,82,121,25,221
28,37,139,26,270
29,110,48,12,301
24,30,259,14,173
22,8,249,22,199
24,5,244,26,201
22,7,202,22,247
18,1,72,25,384
24,1,28,10,437
25,3,21,17,434
15,6,24,26,429
18,1,121,22,338
17,5,286,23,169
13,1,309,56,121
12,3,299,102,84
17,2,278,152,51
23,3,248,158,68
41,3,153,121,182
59,3,155,98,185
213,4,100,31,152
35,3,56,46,360
8,5,49,36,402
12,2,25,28,433
11,100,24,22,343
14,17,23,28,418
15,148,24,22,291
19,191,31,14,245
19,146,30,16,289
18,86,50,18,328
10,99,51,23,317
12,93,31,24,340
22,110,29,14,325
19,3,34,15,429
13,75,27,20,365
53,18,28,13,388
77,37,16,19,351
81,5,24,13,377
31,31,23,16,399
21,49,28,11,391
21,24,22,14,419
15,62,22,19,382
18,8,25,13,436
21,3,28,8,440
31,5,14,12,438
24,3,33,13,427
19,4,30,8,439
22,9,18,14,437
17,1,25,13,444
31,77,77,20,295
22,5,194,16,263
20,11,274,15,180
40,8,177,7,268
24,6,236,12,222
18,15,233,10,224
23,14,258,4,201
31,8,289,6,166
22,8,267,16,187
17,6,279,14,184
18,6,258,13,205
17,4,286,15,178
17,8,270,15,190
16,5,272,18,189
16,4,193,29,258
12,3,301,99,85
14,5,170,246,65
19,165,65,182,69
16,316,20,82,66
9,276,23,53,139
21,40,22,26,391
21,27,16,18,418
22,24,19,15,420
18,15,28,21,418
19,4,30,24,423
8,71,27,37,357
16,12,20,29,423
14,5,23,35,423
16,41,45,30,368
13,73,32,12,370
11,50,92,16,331
11,93,73,23,300
12,73,102,14,299
9,85,75,21,310
12,140,23,21,304
16,126,35,16,307
19,64,29,12,376
9,36,23,21,411
10,5,33,16,436
17,39,81,7,356
21,44,35,7,393
14,63,28,13,382
12,15,59,19,395
13,7,61,16,403
9,6,79,25,381
15,8,102,17,358
14,0,26,25,435
10,5,22,19,444
11,4,26,18,441
10,37,22,19,412
12,78,22,24,364
8,48,29,17,398
17,105,90,19,269
14,136,148,15,187
14,105,119,20,242
11,109,116,18,246
8,127,122,54,189
11,218,69,24,178
13,45,53,192,197
15,37,27,263,158
11,196,26,81,186
9,129,25,23,314
13,100,32,31,324
22,56,182,25,215
18,31,43,23,385
8,6,124,24,338
7,6,172,26,289
28,4,205,24,239
59,13,166,21,241
50,7,101,26,316
21,6,80,25,368
12,1,130,27,330
8,3,141,27,321
10,4,149,23,314
13,14,116,21,336
6,33,25,25,411
13,1,61,32,393
7,11,63,25,394
12,27,101,28,332
6,7,160,24,303
7,64,106,25,298
5,13,180,27,275
7,66,156,31,240
10,97,59,29,305
8,71,152,45,224
3,63,100,30,304
10,85,118,23,264
7,171,22,25,275
5,230,20,30,215
12,203,39,25,221
7,236,20,29,208
14,271,15,30,170
12,238,14,22,214
14,275,10,25,176
15,250,15,24,196
17,259,12,31,181
11,241,13,22,213
11,247,9,21,212
9,203,16,20,252
6,54,12,29,399
8,34,11,22,425
9,37,16,25,413
7,29,11,30,423
5,17,7,25,446
5,20,12,20,443
5,30,14,21,430
15,22,8,14,441
9,30,7,16,438
4,21,8,22,445
16,23,10,13,438
18,18,10,10,444
19,18,12,13,438
15,19,13,13,440
9,11,15,21,444
15,6,26,10,443
18,10,15,14,443
18,13,65,14,390
13,11,148,21,307
19,80,60,50,291
14,107,71,31,277
11,157,70,20,242
19,28,171,13,269
17,30,49,16,388
9,175,44,15,257
15,92,62,14,317
7,12,98,21,362
13,1,182,19,285
14,45,113,12,316
19,171,45,17,248
10,11,165,31,283
16,3,219,26,236
16,36,168,49,231
14,42,192,68,184
20,18,142,55,265
9,111,83,53,244
15,54,125,29,277
12,6,52,38,392
14,6,31,30,419
9,7,27,19,438
14,59,16,23,388
11,3,26,22,438
5,20,27,28,420
6,120,98,59,217
10,98,31,34,327
18,156,19,37,270
9,142,34,25,290
25,90,100,38,247
31,26,19,19,405
36,19,18,21,406
14,99,24,16,347
22,122,30,20,306
37,46,71,12,334
25,10,83,17,365
18,85,36,14,347
26,120,11,16,327
27,104,16,13,340
27,24,23,13,413
26,121,16,16,321
18,193,18,18,253
31,161,25,11,272
36,49,115,23,277
30,37,150,32,251
23,64,154,44,215
27,20,158,34,261
32,12,124,41,291
35,26,157,35,247
15,19,150,46,270
26,99,81,30,264
25,8,75,22,370
25,14,122,20,319
27,20,93,20,340
24,62,53,22,339
20,42,26,15,397
20,23,22,22,413
20,24,13,23,420
24,48,17,16,395
21,71,17,21,370
20,138,19,37,286
25,99,13,30,333
23,223,15,27,212
20,66,12,30,372
17,103,16,23,341
15,80,22,19,364
18,157,26,20,279
18,179,18,25,260
17,32,69,23,359
13,131,21,19,316
15,168,19,17,281
11,151,18,28,292
14,121,23,15,327
10,59,132,9,290
13,58,132,11,286
9,18,125,16,332
2,60,145,15,278
9,88,110,8,285
10,96,129,13,252
8,173,53,19,247
14,195,53,5,233
11,61,111,12,305
15,181,78,15,211
13,185,49,20,233
17,146,92,11,234
11,90,136,10,253
11,176,82,20,211
13,156,119,19,193
15,182,101,21,181
15,64,179,17,225
14,69,192,11,214
10,147,148,58,137
14,118,178,70,120
11,199,107,67,116
16,182,120,59,123
14,305,35,28,118
18,174,122,17,169
16,207,91,22,164
10,145,129,20,196
14,205,85,21,175
12,253,80,19,136
11,272,36,21,160
13,312,44,11,120
10,94,194,23,179
17,272,51,13,147
15,298,48,17,122
9,302,50,18,121
11,200,120,20,149
5,243,72,14,166
7,229,69,11,184
8,323,14,21,134
6,306,34,20,134
15,350,10,20,105
9,272,61,17,141
7,356,15,23,99
8,328,42,17,105
7,355,19,8,111
7,308,53,14,118
