Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-01-24 08:03:45.463650: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-01-24 08:03:50.907342: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30977 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:af:00.0, compute capability: 7.0
2024-01-24 08:03:55.868415: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, train=True, steps=20000)
>> Training mode. Number of Steps to Train: 20000
num_actions: 5
Episode#117 Reward:-16.758485794067383
Episode#118 Reward:-15.348609924316406
Episode#119 Reward:-15.986106902360916
step = 120: loss = [0.0073654857, 0.004432301, 0.0059484486, 0.0043333312, 0.0044345036, 0.0039416356, 0.005089863, 0.0028805714, 0.0063675973, 0.0040144324]
Episode#120 Reward:-24.728240728378296
Episode#121 Reward:-27.828994440846145
Episode#122 Reward:-15.762010001926683
Episode#123 Reward:-17.918383598327637
Episode#124 Reward:-15.420388162136078
Episode#125 Reward:-26.493589773832355
Episode#126 Reward:-16.37103400565684
Episode#127 Reward:-14.177187383174896
Episode#128 Reward:-9.653351232409477
Episode#129 Reward:-16.368513554736637
Episode#130 Reward:-26.407418319895214
Episode#131 Reward:-16.513437271118164
Episode#132 Reward:-16.122300177812576
Episode#133 Reward:-16.9466142822057
Episode#134 Reward:-14.109114646911621
Episode#135 Reward:-16.37464714050293
Episode#136 Reward:-17.62772065354511
Episode#137 Reward:-75.68129853904247
Episode#138 Reward:-13.752134619035587
Episode#139 Reward:-44.65019607543945
step = 140: loss = [0.0051371404, 0.00315976, 0.0044370405, 0.0037049237, 0.004110424, 0.0028835966, 0.0036281545, 0.0052763373, 0.0032510231, 0.0069560264]
Episode#140 Reward:-19.004700139164925
Episode#141 Reward:-16.36870122217806
Episode#142 Reward:-17.627717923444948
Episode#143 Reward:-26.446238290518522
Episode#144 Reward:-15.430445373058319
Episode#145 Reward:-16.368510449775044
Episode#146 Reward:-17.634038478136063
Episode#147 Reward:-15.311261355876923
Episode#148 Reward:-18.08238983154297
Episode#149 Reward:-18.273814299554942
step = 150: Average Return = -19.571064560666855
Episode#150 Reward:-16.001441478729248
Episode#151 Reward:-26.40741629093145
Episode#152 Reward:-26.53967970609665
Episode#153 Reward:-17.627717244438827
Episode#154 Reward:-16.380540311336517
Episode#155 Reward:-17.62990167364478
Episode#156 Reward:-14.476388812065125
Episode#157 Reward:-16.36899295449257
Episode#158 Reward:-14.050744608044624
Episode#159 Reward:-14.972735852003098
step = 160: loss = [0.0034142432, 0.0037224537, 0.004243956, 0.004167098, 0.0048229108, 0.00579765, 0.0061012823, 0.005261544, 0.005789563, 0.004583367]
Episode#160 Reward:-16.334772646427155
Episode#161 Reward:-25.61323909368366
Episode#162 Reward:-27.850397935137153
Episode#163 Reward:-15.180044710636139
Episode#164 Reward:-13.771329462528229
Episode#165 Reward:-18.049747705459595
Episode#166 Reward:-13.866016954183578
Episode#167 Reward:-27.843754053115845
Episode#168 Reward:-13.887659844011068
Episode#169 Reward:-26.4747221916914
Episode#170 Reward:-15.467393212020397
Episode#171 Reward:-26.407423032811494
Episode#172 Reward:-14.319889411330223
Episode#173 Reward:-16.36851090293976
Episode#174 Reward:-16.056415796279907
Episode#175 Reward:-13.880083724856377
Episode#176 Reward:-14.761899590492249
Episode#177 Reward:-27.829522728919983
Episode#178 Reward:-17.655342936515808
Episode#179 Reward:-26.407568847876973
step = 180: loss = [0.0035361713, 0.0032448138, 0.0039607678, 0.006612384, 0.0037390336, 0.0029169759, 0.0038238838, 0.003357715, 0.0033557527, 0.0036024607]
Episode#180 Reward:-17.172061920166016
Episode#181 Reward:-32.25230011087842
Episode#182 Reward:-19.291287675499916
Episode#183 Reward:-16.37261625006795
Episode#184 Reward:-13.712258338928223
Episode#185 Reward:-17.862900376319885
Episode#186 Reward:-14.316953718662262
Episode#187 Reward:-12.092617213726044
Episode#188 Reward:-15.787047624588013
Episode#189 Reward:-17.691757917404175
Episode#190 Reward:-19.56401252746582
Episode#191 Reward:-6.610280990600586
Episode#192 Reward:-15.068499725311995
Episode#193 Reward:-13.88287216052413
Episode#194 Reward:-13.947041481733322
Episode#195 Reward:-26.440490290522575
Episode#196 Reward:-18.123495191335678
Episode#197 Reward:-18.24429154396057
Episode#198 Reward:-16.368515410955297
Episode#199 Reward:-26.40741829357114
step = 200: loss = [0.0057328716, 0.0042627016, 0.005006517, 0.0038891325, 0.0036503184, 0.00429147, 0.0044529364, 0.0049638497, 0.0055247834, 0.0069037173]
step = 200: Average Return = -18.30234100187954
Episode#200 Reward:-17.145159602165222
Episode#201 Reward:-15.996401250362396
Episode#202 Reward:-27.841786861419678
Episode#203 Reward:-13.979239024221897
Episode#204 Reward:-16.708189696073532
Episode#205 Reward:-14.715489387512207
Episode#206 Reward:-16.42191791534424
Episode#207 Reward:-29.282455921173096
Episode#208 Reward:-17.62867972254753
Episode#209 Reward:-17.63397566087076
Episode#210 Reward:-9.966314315795898
Episode#211 Reward:-42.251946449279785
Episode#212 Reward:-17.48334350436926
Episode#213 Reward:-13.834174677729607
Episode#214 Reward:-16.480087131261826
Episode#215 Reward:-16.368510191085306
Episode#216 Reward:-28.531688690185547
Episode#217 Reward:-16.4763525724411
Episode#218 Reward:-14.02198475599289
Episode#219 Reward:-15.003076791763306
step = 220: loss = [0.0031675608, 0.0035999853, 0.004360722, 0.0025321245, 0.0053924546, 0.0037328042, 0.004922004, 0.0034714022, 0.0045773336, 0.0032156683]
Episode#220 Reward:-26.583911895751953
Episode#221 Reward:-17.681014847941697
Episode#222 Reward:-27.82884397420628
Episode#223 Reward:-14.622978270053864
Episode#224 Reward:-15.570863157510757
Episode#225 Reward:-17.627739138435572
Episode#226 Reward:-17.627715134539017
Episode#227 Reward:-14.543334044516087
Episode#228 Reward:-17.657299041748047
Episode#229 Reward:-16.37744679575553
Episode#230 Reward:-26.90359588712454
Episode#231 Reward:-9.725254774093628
Episode#232 Reward:-42.621559143066406
Episode#233 Reward:-17.634504914283752
Episode#234 Reward:-26.410911917686462
Episode#235 Reward:-13.798906724900007
Episode#236 Reward:-77.5706079006195
Episode#237 Reward:-14.035519703415048
Episode#238 Reward:-9.62383921116998
Episode#239 Reward:-28.300996780395508
step = 240: loss = [0.0041158386, 0.0045793885, 0.0033265986, 0.0058769863, 0.0037056939, 0.0030361346, 0.0042683184, 0.0031509048, 0.0036352174, 0.004024228]
Episode#240 Reward:-21.407543897628784
Episode#241 Reward:-26.518863677978516
Episode#242 Reward:-13.857067383825779
Episode#243 Reward:-14.816267669200897
Episode#244 Reward:-15.969805240631104
Episode#245 Reward:-15.784595251083374
Episode#246 Reward:-27.8015456199646
Episode#247 Reward:-80.7020492553711
Episode#248 Reward:-27.828843816897347
Episode#249 Reward:-14.88172435760498
step = 250: Average Return = -21.651854515075684
Episode#250 Reward:-14.531188428401947
Episode#251 Reward:-16.37387989833951
Episode#252 Reward:-26.407582410494797
Episode#253 Reward:-8.743854284286499
Episode#254 Reward:-1.606149673461914
Episode#255 Reward:-16.36851173188552
Episode#256 Reward:-14.209389224648476
Episode#257 Reward:-17.62927532196045
Episode#258 Reward:-14.182141795754433
Episode#259 Reward:-41.29088592529297
step = 260: loss = [0.0062837326, 0.0021899908, 0.0027324664, 0.004170879, 0.004091628, 0.0044921557, 0.004195862, 0.0033132504, 0.0036066177, 0.0057643396]
Episode#260 Reward:-15.779245376586914
Episode#261 Reward:-15.994683963392163
Episode#262 Reward:-16.368565886863507
Episode#263 Reward:-16.368511343167484
Episode#264 Reward:-13.781319017522037
Episode#265 Reward:-16.368510542525655
Episode#266 Reward:-28.536490976810455
Episode#267 Reward:-16.37786865234375
Episode#268 Reward:-16.84585952758789
Episode#269 Reward:-19.10696506500244
Episode#270 Reward:-35.95922803878784
Episode#271 Reward:-16.151511132717133
Episode#272 Reward:-13.979664384387434
Episode#273 Reward:-14.439880900084972
Episode#274 Reward:-16.87753200531006
Episode#275 Reward:-16.133705735206604
Episode#276 Reward:-15.652177914278582
Episode#277 Reward:-13.898342560976744
Episode#278 Reward:-16.369799733161926
Episode#279 Reward:-26.407415953226632
step = 280: loss = [0.002529439, 0.004917984, 0.0043946872, 0.0046052993, 0.0027410737, 0.005049071, 0.005163094, 0.0030490996, 0.0041356646, 0.0045852894]
Episode#280 Reward:-12.557086676359177
Episode#281 Reward:-16.36851456961449
Episode#282 Reward:-26.407414577228565
Episode#283 Reward:-17.447525594383478
Episode#284 Reward:-26.659598467405885
Episode#285 Reward:-13.821314062923193
Episode#286 Reward:-13.754860439803451
Episode#287 Reward:-18.226491928100586
Episode#288 Reward:-27.828982025384903
Episode#289 Reward:-14.328414589166641
Episode#290 Reward:-18.16258144378662
Episode#291 Reward:-26.409570638090372
Episode#292 Reward:-16.370349757373333
Episode#293 Reward:-1.7796449661254883
Episode#294 Reward:-16.36862843367271
Episode#295 Reward:-44.15320587158203
Episode#296 Reward:-19.366307735443115
Episode#297 Reward:-17.982492867857218
Episode#298 Reward:-13.75220738304779
Episode#299 Reward:-14.181259155273438
step = 300: loss = [0.0022957437, 0.0038945065, 0.0017653318, 0.0025569454, 0.0024674726, 0.0034157182, 0.004616916, 0.0034807175, 0.005557968, 0.004613065]
step = 300: Average Return = -17.68077117676694
Episode#300 Reward:-16.371330201625824
Episode#301 Reward:-15.507956385612488
Episode#302 Reward:-16.368950088508427
Episode#303 Reward:-14.111746117472649
Episode#304 Reward:-16.368642835877836
Episode#305 Reward:-28.35527801513672
Episode#306 Reward:-26.45963317155838
Episode#307 Reward:-17.62853468209505
Episode#308 Reward:-16.368507777224295
Episode#309 Reward:-13.992032541893423
Episode#310 Reward:-26.407417731501482
Episode#311 Reward:-7.7672834396362305
Episode#312 Reward:-16.36851134463359
Episode#313 Reward:-16.369891934096813
Episode#314 Reward:-27.83462941646576
Episode#315 Reward:-14.08723759651184
Episode#316 Reward:-14.279031097888947
Episode#317 Reward:-13.378702575340867
Episode#318 Reward:-14.83662885427475
Episode#319 Reward:-16.923496663570404
step = 320: loss = [0.002080073, 0.0040965006, 0.002816697, 0.0024172121, 0.0060745757, 0.0037691253, 0.005267077, 0.0028533018, 0.0038490272, 0.0041664564]
Episode#320 Reward:-15.902735721625504
Episode#321 Reward:-19.249268531799316
Episode#322 Reward:-48.738677978515625
Episode#323 Reward:-13.723553986288607
Episode#324 Reward:-26.407429190934636
Episode#325 Reward:-10.592875838279724
Episode#326 Reward:-26.407419436388864
Episode#327 Reward:-19.105724334716797
Episode#328 Reward:-14.589239120483398
Episode#329 Reward:-26.40741899295392
Episode#330 Reward:-26.40741724855252
Episode#331 Reward:-72.26672285638051
Episode#332 Reward:-16.409639358520508
Episode#333 Reward:-10.185486912727356
Episode#334 Reward:-19.49490237236023
Episode#335 Reward:-27.831095959991217
Episode#336 Reward:-8.96192455291748
Episode#337 Reward:-16.36851033523135
Episode#338 Reward:-18.09136094506448
Episode#339 Reward:-14.059220515191555
step = 340: loss = [0.003030674, 0.0041062664, 0.0029016356, 0.0024632534, 0.0034205806, 0.0048861736, 0.0038989738, 0.004364401, 0.002486003, 0.0062003504]
Episode#340 Reward:-27.048625946044922
Episode#341 Reward:-43.01163303852081
Episode#342 Reward:-26.40742002300385
Episode#343 Reward:-27.8220796585083
Episode#344 Reward:-18.247630894184113
Episode#345 Reward:-15.156712919473648
Episode#346 Reward:-22.183876037597656
Episode#347 Reward:-16.628604233264923
Episode#348 Reward:-17.141515612602234
Episode#349 Reward:-14.4406768232584
step = 350: Average Return = -17.29997444152832
Episode#350 Reward:-15.810806155204773
Episode#351 Reward:-20.396961450576782
Episode#352 Reward:-16.297883987426758
Episode#353 Reward:-16.369082864373922
Episode#354 Reward:-26.40966571541503
Episode#355 Reward:-27.828840051456496
Episode#356 Reward:-15.910051062703133
Episode#357 Reward:-16.388691186904907
Episode#358 Reward:-18.204117000102997
Episode#359 Reward:-26.40742888487148
step = 360: loss = [0.0018070157, 0.0039251507, 0.005344024, 0.0018167519, 0.0050429357, 0.0032616828, 0.0046756016, 0.004776222, 0.003814829, 0.0022196681]
Episode#360 Reward:-17.633262038230896
Episode#361 Reward:-14.86887738108635
Episode#362 Reward:-17.12185788154602
Episode#363 Reward:-17.62771747312945
Episode#364 Reward:-26.40741888820196
Episode#365 Reward:-16.36850764112023
Episode#366 Reward:-17.64383888244629
Episode#367 Reward:-14.672012954950333
Episode#368 Reward:-16.491044998168945
Episode#369 Reward:-16.381685703992844
Episode#370 Reward:-41.89128112792969
Episode#371 Reward:-13.766151832416654
Episode#372 Reward:-15.853486999869347
Episode#373 Reward:-14.279254898428917
Episode#374 Reward:-16.368511528829572
Episode#375 Reward:-9.62925686314702
Episode#376 Reward:-17.70186996459961
Episode#377 Reward:-72.65118020772934
Episode#378 Reward:-15.584198498458136
Episode#379 Reward:-17.773635149002075
step = 380: loss = [0.0037977186, 0.0019966138, 0.0027987936, 0.0059318943, 0.0066093644, 0.00238297, 0.0025094335, 0.00257211, 0.003138178, 0.0012668319]
Episode#380 Reward:-17.63447728008032
Episode#381 Reward:-16.36850913510682
Episode#382 Reward:-0.16320136655122042
Episode#383 Reward:-17.695565678179264
Episode#384 Reward:-26.407486545154825
Episode#385 Reward:-16.163178011775017
Episode#386 Reward:-93.76063430461215
Episode#387 Reward:-14.216060400009155
Episode#388 Reward:-16.283076405525208
Episode#389 Reward:-33.976417541503906
Episode#390 Reward:-77.82561729848385
Episode#391 Reward:-26.407425360172056
Episode#392 Reward:-13.774286910891533
Episode#393 Reward:-16.368510433212464
Episode#394 Reward:-17.83511734008789
Episode#395 Reward:-9.623853835830232
Episode#396 Reward:-15.140352249145508
Episode#397 Reward:-13.752168498758692
Episode#398 Reward:-13.835076127201319
Episode#399 Reward:-17.480757992714643
step = 400: loss = [0.0020449061, 0.0035464065, 0.0021777963, 0.0041929386, 0.004072291, 0.0053734244, 0.0024315913, 0.0021426133, 0.004378423, 0.0037633874]
step = 400: Average Return = -16.096097170852573
Episode#400 Reward:-17.77338981628418
Episode#401 Reward:-10.428703308105469
Episode#402 Reward:-14.67548942565918
Episode#403 Reward:-17.24787527322769
Episode#404 Reward:-15.849178314208984
Episode#405 Reward:-16.391320943832397
Episode#406 Reward:-16.368597630877048
Episode#407 Reward:-13.44108435511589
Episode#408 Reward:-26.40741753911061
Episode#409 Reward:-14.803864121437073
Episode#410 Reward:-17.631469344720244
Episode#411 Reward:-42.10482406616211
