360,82,54,129,78,82,82,68,65
87,141,98,211,87,79,101,86,110
73,112,106,299,79,69,98,84,80
59,131,85,338,68,67,92,97,63
78,137,58,390,46,66,78,82,65
69,92,63,142,197,84,63,206,84
71,108,77,155,194,74,52,160,109
58,96,43,120,195,69,52,243,124
46,72,43,93,178,49,38,303,178
53,69,42,145,177,50,40,238,186
71,61,40,179,226,23,37,245,118
60,177,36,121,146,23,54,287,96
47,121,28,131,248,25,32,274,94
25,114,18,103,245,32,26,347,90
30,133,20,155,261,21,42,238,100
34,175,26,106,159,32,22,288,158
80,134,45,110,115,18,28,367,103
76,137,51,69,134,17,22,348,146
29,101,20,225,174,9,16,252,174
37,190,26,185,147,15,21,205,174
38,82,82,136,275,12,87,170,118
39,177,21,98,181,23,16,207,238
38,56,14,231,168,12,6,245,230
58,66,9,269,183,7,7,238,163
83,14,14,266,171,10,11,206,225
81,69,8,276,216,5,20,225,100
51,50,13,318,173,14,22,204,155
64,77,9,247,192,9,15,256,131
45,55,7,305,128,15,20,266,159
53,35,9,309,191,3,22,209,169
55,75,19,314,229,9,17,141,141
37,149,15,273,216,17,24,129,140
36,81,7,271,173,9,110,199,114
65,52,14,225,290,9,3,164,178
74,67,17,215,232,4,12,197,182
67,38,28,237,273,6,6,158,187
79,62,10,181,285,5,4,193,181
97,123,9,212,209,1,4,189,156
67,128,11,214,194,7,3,224,152
95,92,7,200,251,12,6,197,140
