Episode,Average Fitness
0,-170.85299714290485
1,-179.7579314728849
2,-180.0017781610624
3,-180.0151743715161
4,-180.01547593283706
5,-180.01548018430026
6,-180.01548095133774
7,-180.01548108842186
8,-180.015481125407
9,-180.0154811398427
10,-180.01548114302514
11,-180.0154811441834
12,-180.01548114499275
13,-180.01548114529857
14,-180.015481145449
15,-180.0154811455248
16,-180.01548114555143
17,-180.01548114556743
18,-180.015481145587
19,-180.015481145597
