Episode,Average Fitness
0,509.4040445709115
1,506.6566187296286
2,506.38431855026744
3,506.2555316794075
4,506.192480967856
5,506.14562429945045
6,506.1079770689456
7,506.074403188304
8,506.04162009106443
9,506.0179570066262
10,505.9959439173742
11,505.97325140944065
12,505.95420432390057
13,505.9331104110612
14,505.9183718227419
15,505.90540644208363
16,505.8944258853242
17,505.8777157117751
18,505.86403306701106
19,505.8581952042921
