113,86,113,95,140,108,125,105,115
79,85,95,91,174,142,134,99,101
65,84,79,88,167,128,192,81,116
92,103,112,79,117,92,125,142,138
101,112,88,79,126,92,63,156,183
91,140,123,69,114,77,91,154,141
77,168,186,51,62,98,95,131,132
68,140,167,54,68,116,107,118,162
78,126,214,37,82,109,116,113,125
58,140,235,29,53,110,194,96,85
50,106,185,53,45,140,201,104,116
49,165,292,56,34,71,131,92,110
50,149,299,28,42,112,190,63,67
50,143,251,56,39,94,148,108,111
97,354,117,89,45,90,20,115,73
88,249,147,67,100,184,82,37,46
69,169,140,173,122,108,50,60,109
98,234,117,54,117,123,92,64,101
91,219,113,117,66,130,29,154,81
53,168,168,78,143,110,52,130,98
77,203,150,80,160,94,37,73,126
216,193,103,53,81,34,41,102,177
224,117,53,41,104,5,53,123,280
118,196,179,17,127,43,102,48,170
84,130,324,41,39,48,192,41,101
84,161,309,41,49,97,173,21,65
56,280,219,130,74,62,62,50,67
46,229,176,50,62,182,168,34,53
50,97,303,39,24,148,284,8,47
40,105,337,51,29,118,278,8,34
33,100,332,42,66,96,292,12,27
10,44,51,53,87,21,74,101,559
249,86,301,16,60,4,5,173,106
104,39,541,42,90,23,13,89,59
24,16,44,177,560,32,4,114,29
66,85,105,382,107,7,96,20,132
94,167,66,45,47,10,316,49,206
41,174,96,69,60,19,260,80,201
42,307,99,111,44,4,226,49,118
46,229,214,66,53,28,185,136,43
