1102,1276,1276,593,753
1016,1240,1556,592,596
1037,1006,1698,659,600
907,964,2033,562,534
898,900,2112,519,571
781,839,2189,560,631
607,740,1984,715,954
492,803,1967,671,1067
539,862,1696,742,1161
467,1015,1242,757,1519
500,1232,1161,585,1522
349,978,1598,636,1439
406,1026,1424,708,1436
408,772,1682,605,1533
252,1156,2360,480,752
206,2093,909,296,1496
555,536,857,292,2760
384,1019,2139,303,1155
339,1592,1617,406,1046
236,2497,1165,340,762
371,3210,507,420,492
476,2649,205,1381,289
334,2187,87,2243,149
312,1618,238,2711,121
290,1416,202,2974,118
395,1008,294,3215,88
773,710,184,3257,76
614,603,355,3358,70
614,646,336,3377,27
750,360,464,3414,12
841,142,433,3581,3
712,218,496,3572,2
625,264,522,3585,4
641,1569,418,2368,4
580,3507,118,794,1
469,2637,153,1741,0
586,2271,171,1972,0
583,1742,216,2446,13
534,1426,331,2673,36
579,1676,114,2581,50
