98,117,76,87,112,89,102,146,77,96
70,104,55,89,133,96,115,145,46,147
146,62,50,72,123,92,151,156,31,117
93,58,42,75,144,101,145,210,22,110
74,57,20,95,117,91,194,260,32,60
36,43,23,65,41,185,144,235,25,203
115,8,9,86,23,47,110,305,32,265
43,36,24,43,40,116,47,292,90,269
63,9,12,12,64,99,40,216,49,436
64,82,4,18,7,120,49,216,63,377
55,4,37,5,1,142,23,173,187,373
55,39,2,4,7,115,12,126,174,466
56,137,2,29,164,194,13,32,94,279
71,78,17,40,198,84,18,70,55,369
46,44,12,35,196,126,14,18,29,480
33,70,16,13,210,88,12,5,60,493
12,63,23,14,115,122,12,16,76,547
13,63,12,2,54,95,5,142,121,493
25,35,22,34,75,106,25,176,66,436
75,5,2,246,64,98,92,63,34,321
266,21,3,57,0,110,58,31,80,374
218,92,8,62,4,81,21,37,137,340
11,100,116,31,23,78,50,16,51,524
9,37,150,53,4,85,119,22,9,512
4,99,22,39,19,98,87,64,58,510
3,2,2,60,3,66,31,103,141,589
10,0,1,35,9,127,30,60,68,660
175,48,0,60,5,202,6,15,26,463
72,42,0,31,95,191,50,77,2,440
257,39,36,62,98,93,74,57,4,280
222,140,80,276,14,80,2,59,4,123
253,83,127,7,5,229,98,31,3,164
84,8,277,17,18,143,343,35,1,74
91,202,152,29,50,108,284,56,9,19
26,215,121,265,128,100,66,16,55,8
29,158,132,119,57,26,228,146,94,11
41,81,123,176,16,114,181,239,10,19
88,33,65,35,80,62,146,119,204,168
32,70,47,37,288,81,80,85,26,254
7,64,21,25,162,71,96,194,202,158
