112,7,235,19,127
80,5,213,60,142
109,4,170,65,152
132,14,143,74,137
178,21,104,88,109
145,31,119,138,67
123,43,141,112,81
150,49,114,114,73
133,45,146,107,69
114,59,109,157,61
181,35,119,128,37
159,28,137,140,36
179,40,91,151,39
161,25,115,174,25
158,27,111,180,24
117,37,117,207,22
136,35,99,202,28
109,26,106,240,19
107,22,117,235,19
109,22,122,237,10
114,18,123,236,9
61,10,111,309,9
77,9,120,284,10
86,13,125,267,9
73,6,93,320,8
72,6,70,322,30
40,6,43,389,22
48,6,33,373,40
25,27,23,351,74
11,50,9,270,160
10,52,5,111,322
8,20,23,24,425
6,2,48,1,443
3,2,53,1,441
2,3,45,10,440
7,2,40,15,436
245,0,19,53,183
324,1,32,68,75
331,5,11,62,91
357,18,9,49,67
223,49,5,9,214
66,32,14,15,373
33,16,5,10,436
48,10,3,15,424
41,10,3,16,430
17,14,14,20,435
29,7,9,27,428
20,8,14,27,431
16,9,13,16,446
15,15,16,25,429
16,14,103,22,345
33,16,430,20,1
26,15,439,14,6
26,9,444,18,3
32,8,428,27,5
30,10,433,19,8
22,13,427,22,16
20,10,438,23,9
14,8,435,23,20
17,10,440,18,15
15,9,449,10,17
13,6,447,15,19
11,13,440,15,21
11,9,449,15,16
4,5,458,8,25
11,9,437,28,15
16,12,440,23,9
12,6,440,26,16
15,8,413,42,22
18,5,435,36,6
11,2,441,34,12
13,16,443,20,8
11,5,442,21,21
13,2,425,34,26
14,17,448,10,11
12,8,447,14,19
11,6,439,25,19
23,11,432,21,13
17,1,449,15,18
18,4,428,29,21
22,8,447,4,19
27,6,443,16,8
14,6,447,11,22
10,2,454,11,23
10,5,456,7,22
7,9,450,3,31
8,15,446,12,19
16,3,445,9,27
7,3,463,1,26
7,11,457,3,22
10,10,447,8,25
381,12,74,3,30
431,13,15,17,24
445,17,8,5,25
450,17,8,5,20
234,16,4,86,160
8,21,12,435,24
16,9,11,439,25
4,11,18,447,20
17,11,13,448,11
16,13,5,439,27
12,5,8,445,30
9,16,15,440,20
3,15,19,445,18
5,18,28,430,19
8,18,12,436,26
4,8,13,442,33
6,7,16,443,28
4,12,9,448,27
14,18,8,441,19
10,5,20,439,26
16,10,11,448,15
11,7,8,448,26
9,8,17,441,25
123,7,15,327,28
439,12,30,5,14
450,8,10,7,25
450,6,13,8,23
448,11,14,4,23
443,10,10,8,29
26,434,9,2,29
21,122,11,1,345
130,288,11,1,70
445,3,13,5,34
451,3,16,3,27
452,4,10,2,32
228,4,227,4,37
4,5,455,3,33
7,2,466,5,20
210,6,258,2,24
240,8,207,11,34
3,1,206,270,20
7,5,12,455,21
4,2,21,446,27
20,6,10,441,23
13,7,14,292,174
7,7,85,139,262
3,4,453,10,30
23,227,65,8,177
12,5,11,448,24
14,9,11,445,21
8,8,11,454,19
12,3,7,451,27
10,18,12,439,21
10,447,17,3,23
10,64,70,3,353
389,6,13,3,89
139,320,6,16,19
27,430,13,7,23
11,448,9,2,30
4,450,7,9,30
413,41,9,4,33
119,337,12,7,25
59,407,6,7,21
456,4,8,4,28
453,3,5,3,36
447,4,4,18,27
459,4,6,9,22
456,7,7,10,20
448,8,12,8,24
181,5,273,19,22
400,5,58,12,25
214,7,7,114,158
6,11,5,445,33
