71,117,183,44,69,95,125,68,228
71,111,119,30,42,143,183,99,202
52,79,112,56,123,103,135,77,263
36,72,119,83,70,107,136,108,269
64,99,84,94,67,105,94,115,278
73,97,87,78,79,110,95,151,230
61,73,88,67,53,88,114,237,219
113,64,103,122,45,39,61,208,245
87,74,80,65,55,39,33,311,256
46,17,69,28,32,22,82,443,261
50,28,73,45,48,38,47,443,228
46,23,65,49,47,89,63,393,225
23,30,27,42,71,83,78,376,270
13,32,39,63,58,60,84,386,265
13,8,35,28,20,48,54,536,258
9,9,25,32,12,78,39,567,229
31,11,15,18,8,72,159,507,179
8,29,25,52,7,135,6,616,122
13,20,12,86,25,110,14,534,186
13,14,19,8,23,118,89,588,128
55,1,15,4,6,69,7,668,175
53,11,23,8,3,45,9,611,237
22,10,23,19,10,9,55,611,241
2,3,24,4,33,11,30,626,267
2,124,47,71,166,7,4,460,119
0,7,31,3,203,1,29,617,109
1,2,75,43,85,3,76,588,127
40,2,133,0,56,2,35,628,104
20,10,95,47,44,1,118,584,81
44,2,7,207,15,20,37,590,78
12,2,8,11,7,213,45,632,70
0,59,27,42,3,0,99,655,115
2,3,5,22,103,31,8,689,137
1,21,2,157,59,38,11,617,94
5,1,2,66,11,2,35,756,122
12,0,12,9,33,4,121,692,117
59,2,6,2,1,2,126,705,97
2,4,5,2,2,0,48,832,105
2,0,3,25,87,5,109,669,100
4,1,2,1,204,1,3,714,70
