165,214,265,149,207
217,254,210,119,200
285,357,121,106,131
228,386,147,183,56
94,450,195,228,33
176,659,97,51,17
304,405,188,35,68
131,535,57,4,273
21,424,81,9,465
22,540,127,5,306
55,526,293,3,123
88,745,121,4,42
331,501,117,1,50
0,337,3,3,657
183,418,64,1,334
584,357,31,3,25
219,437,113,2,229
217,594,91,4,94
193,457,19,3,328
149,446,200,0,205
823,131,10,0,36
322,365,272,0,41
3,689,274,3,31
1,316,655,8,20
3,419,440,3,135
2,435,540,2,21
1,5,832,1,161
2,193,678,68,59
3,779,210,3,5
1,976,20,2,1
2,860,2,2,134
5,1,1,3,990
4,303,2,2,689
2,69,3,0,926
1,843,3,1,152
2,988,4,2,4
1,943,1,2,53
3,2,720,2,273
4,1,993,1,1
1,2,637,0,360
