373,110,76,72,72,65,69,83,80
128,180,84,116,90,93,101,114,94
125,240,96,117,84,78,80,106,74
162,261,66,123,74,68,70,98,78
161,280,57,102,81,79,64,108,68
94,84,71,139,136,60,129,114,173
113,64,69,169,171,50,120,130,114
52,80,147,74,312,33,149,55,98
90,62,95,99,178,49,212,76,139
134,57,102,123,294,37,128,34,91
119,52,89,79,365,31,133,49,83
99,72,69,112,327,36,131,42,112
124,55,54,80,283,45,136,46,177
96,84,81,96,164,100,189,88,102
173,54,67,134,163,135,69,32,173
92,100,71,122,147,112,94,75,187
126,55,87,122,167,124,112,42,165
228,39,17,156,83,114,96,79,188
195,34,39,151,103,105,88,74,211
56,40,78,121,351,113,51,49,141
33,37,51,229,217,158,58,14,203
43,69,50,53,73,153,84,124,351
130,158,78,41,46,62,78,97,310
177,120,88,60,70,27,58,120,280
103,96,84,89,190,44,155,43,196
125,136,109,91,40,132,144,52,171
102,103,45,73,102,51,188,89,247
87,129,49,76,45,47,144,156,267
64,120,59,93,185,62,134,75,208
213,120,60,109,86,105,98,27,182
147,112,41,74,86,77,224,74,165
175,144,45,110,80,97,105,35,209
102,119,51,78,100,142,105,66,237
69,124,41,86,146,91,172,91,180
50,64,119,103,82,361,152,20,49
64,130,111,74,101,412,37,22,49
52,99,109,30,70,261,150,64,165
120,229,62,49,82,134,137,87,100
264,82,135,117,52,119,93,24,114
391,52,2,1,39,172,316,1,26
