Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-03-18 05:31:52.362440: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-03-18 05:31:55.375589: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30989 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
2024-03-18 05:31:59.874948: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_F6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, num_actions=3, num_episodes=20, num_swarm_obs_intervals=10, swarm_obs_interval_length=30, policy='ExponentialDecayGreedyEpsilon', train=True, steps=20000)
==== Remaining (Unknown) Args:
[]
>> Training mode. Number of Steps to Train: 20000
>> Evaluation Interval: 500
>> Logging Interval: 200
>> Number of Episodes per Iteration: 20
=== Function Evaluation Budget: 30 dimensions x 10 000/dim = 300000 Function Evaluations
=== Observations Per Episode: 10 Number of Swarm Observation Intervals per Episode x 30 Number of Observations in each Interval  = 300  Observations per Episode
=== Function Evaluation Allocation: 50 Swarm Size (# Particles) x 20 Episodes x 300 Observations per Episode  = 300000 Function Evaluations

num_actions: 3
Action #1 Description: Do nothing
Action #2 Description: Decrease Threshold for Replacement
Action #3 Description: Increase Threshold for Replacement
Step #65 Reward:-26.407418517217934 Current Epsilon: 0.7754798890718299
Step #66 Reward:-187.54837346076965 Current Epsilon: 0.7724545827710502
Step #67 Reward:-27.17948055267334 Current Epsilon: 0.7694412329936805
Step #68 Reward:-188.89493608474731 Current Epsilon: 0.7664397924855131
Step #69 Reward:-222.32152557373047 Current Epsilon: 0.7634502141790971
Step #70 Reward:-13.806937474757433 Current Epsilon: 0.760472451193
Step #71 Reward:-13.89048257470131 Current Epsilon: 0.7575064568310728
Step #72 Reward:-16.544469833374023 Current Epsilon: 0.7545521845817174
Step #73 Reward:-26.407463306182763 Current Epsilon: 0.7516095881171576
Step #74 Reward:-26.407419158313587 Current Epsilon: 0.7486786212927126
Step #75 Reward:-14.105289205908775 Current Epsilon: 0.7457592381460727
Step #76 Reward:-15.27976581454277 Current Epsilon: 0.7428513928965793
Step #77 Reward:-25.052213430404663 Current Epsilon: 0.7399550399445072
Step #78 Reward:-13.802102360874414 Current Epsilon: 0.7370701338703479
Step #79 Reward:-75.99004077911377 Current Epsilon: 0.7341966294340997
Step #80 Reward:-78.70079066418111 Current Epsilon: 0.7313344815745565
Step #81 Reward:-73.5716341137886 Current Epsilon: 0.7284836454086016
Step #82 Reward:-26.407651167013682 Current Epsilon: 0.7256440762305042
Step #83 Reward:-8.97947333753109 Current Epsilon: 0.722815729511218
Step #84 Reward:-13.752177022230171 Current Epsilon: 0.7199985608976834
Step #85 Reward:-74.36962552368641 Current Epsilon: 0.7171925262121313
Step #86 Reward:-69.54061791300774 Current Epsilon: 0.7143975814513903
Step #87 Reward:-16.368514016961853 Current Epsilon: 0.7116136827861976
Step #88 Reward:-20.964954376220703 Current Epsilon: 0.7088407865605109
Step #89 Reward:-26.407426723764956 Current Epsilon: 0.706078849290824
Step #90 Reward:-14.351429522037506 Current Epsilon: 0.7033278276654846
Step #91 Reward:-479.5414848327637 Current Epsilon: 0.7005876785440157
Step #92 Reward:-39.261714935302734 Current Epsilon: 0.6978583589564388
Step #93 Reward:-14.035297513008118 Current Epsilon: 0.6951398261025996
Step #94 Reward:-162.98690605163574 Current Epsilon: 0.6924320373514979
Step #95 Reward:-188.38886213302612 Current Epsilon: 0.689734950240618
Step #96 Reward:-26.572333288975642 Current Epsilon: 0.6870485224752635
Step #97 Reward:-13.949668258428574 Current Epsilon: 0.6843727119278935
Step #98 Reward:-16.388899326324463 Current Epsilon: 0.6817074766374627
Step #99 Reward:-26.407416152077417 Current Epsilon: 0.6790527748087627
Step #100 Reward:-13.879578605294228 Current Epsilon: 0.6764085648117668
Step #101 Reward:-154.21519327163696 Current Epsilon: 0.6737748051809773
Step #102 Reward:-92.90382647514343 Current Epsilon: 0.6711514546147753
Step #103 Reward:-77.41814136505127 Current Epsilon: 0.6685384719747729
Step #104 Reward:-192.87783432006836 Current Epsilon: 0.6659358162851677
Step #105 Reward:-196.18678855895996 Current Epsilon: 0.6633434467321012
Step #106 Reward:-48.74165725708008 Current Epsilon: 0.6607613226630177
Step #107 Reward:-17.14854121208191 Current Epsilon: 0.6581894035860276
Step #108 Reward:-17.627876584418118 Current Epsilon: 0.6556276491692719
Step #109 Reward:-14.745031908154488 Current Epsilon: 0.65307601924029
Step #110 Reward:-13.692326292395592 Current Epsilon: 0.6505344737853899
Step #111 Reward:-16.36850707147164 Current Epsilon: 0.6480029729490202
Step #112 Reward:-0.42343952134251595 Current Epsilon: 0.6454814770331455
Step #113 Reward:-13.772267866879702 Current Epsilon: 0.6429699464966239
Step #114 Reward:-15.642109695822 Current Epsilon: 0.6404683419545864
Step #115 Reward:-15.605413370863175 Current Epsilon: 0.6379766241778202
Step #116 Reward:-73.07594323158264 Current Epsilon: 0.6354947540921526
Step #117 Reward:-150.1068468093872 Current Epsilon: 0.633022692777839
Step #118 Reward:-259.54655623435974 Current Epsilon: 0.6305604014689516
Step #119 Reward:-176.30728769302368 Current Epsilon: 0.6281078415527731
Step #120 Reward:-14.905496835708618 Current Epsilon: 0.6256649745691893
Step #121 Reward:-26.407413928299093 Current Epsilon: 0.6232317622100876
Step #122 Reward:-15.724688762820733 Current Epsilon: 0.6208081663187547
Step #123 Reward:-13.923554707318544 Current Epsilon: 0.6183941488892799
Step #124 Reward:-26.40744296480989 Current Epsilon: 0.6159896720659581
Step #125 Reward:-15.448369847843423 Current Epsilon: 0.613594698142696
Step #126 Reward:-17.761859893798828 Current Epsilon: 0.6112091895624217
Step #127 Reward:-98.46365547180176 Current Epsilon: 0.6088331089164949
