Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity,Inertia Weight,Velocity Range
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
0,Simulated Data,1,1.5,1.5,0.73,100
